google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJmRNlG4xcGjERYmWxGcv2Tgw,Banteay Chhmar Temple,cultural,hindu_temple,Hindu Temple,sightseeing,14.070893799999999,103.0998763,"33CX+9X2, 56, Banteay Chhmar, Cambodia",4.5,491,,OPERATIONAL,,https://maps.google.com/?cid=886917528808416610&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Banteay Chhmar temple
ChIJBUosjugWGzER1AQricdmd54,Krong Poi Pet Mosque,cultural,mosque,Mosque,sightseeing,13.6583645,102.5633129,"MH57+88W, Krong Poi Pet, Cambodia",4.7,83,,OPERATIONAL,,https://maps.google.com/?cid=11418708387407004884&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,mosque;place_of_worship;point_of_interest;association_or_organization;establishment,mosque,Sisophon
ChIJwRwmCysXGzERbI8Lf6yWLlQ,Royal KTV,urban,bar,Bar,nightlife,13.668313999999999,102.5622724,"MH96+4RP, Krong Poi Pet, Cambodia",4.9,24,,OPERATIONAL,,https://maps.google.com/?cid=6065951415724642156&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;karaoke;bar;point_of_interest;establishment,night_club,Sisophon
ChIJR11b-4UXGzERgER363jOHwk,MAX CLUB POIPET,urban,night_club,Night Club,nightlife,13.6704981,102.5568574,"MHC6+P3W, Krong Poi Pet, Cambodia",4.5,76,,OPERATIONAL,https://m.facebook.com/100088787591534/,https://maps.google.com/?cid=657471089361241216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;point_of_interest;establishment,night_club,Sisophon
ChIJsyjAFvARGzERMIJ4n7TMm80,Khmer Buddhist Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.6931008,102.5791981,"MHVH+6MW, Unnamed Road, Krong Poi Pet, Cambodia",4.6,45,,OPERATIONAL,,https://maps.google.com/?cid=14815660475307033136&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Sisophon
ChIJITwTAz2XGjER2MsujJOEf9A,Prey Moan Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.615628599999999,103.27537439999999,"J78G+745, Phumi Rôhal, Cambodia",4.8,20,,OPERATIONAL,https://www.facebook.com/vannsey.ninano,https://maps.google.com/?cid=15023872651178200024&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Sisophon
ChIJ7bxDSckXGzERG0Lvv41LBhk,edm poipet,urban,night_club,Night Club,nightlife,13.674368999999999,102.56610599999999,"MHF8+79, Krong Poi Pet, Cambodia",4.7,23,,OPERATIONAL,,https://maps.google.com/?cid=1803211772991062555&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;point_of_interest;establishment,night_club,Sisophon
ChIJGZZC9QQXGzER22FyUAdbzgE,F-Plus KTV,urban,bar,Bar,nightlife,13.668103499999999,102.56526389999999,"Cambodia, Krong Poi Pet, Unnamed RoadMH98+64R",4.5,50,,OPERATIONAL,,https://maps.google.com/?cid=130141526212895195&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;karaoke;bar;point_of_interest;establishment,night_club,Sisophon
ChIJOTueSD4XGzERUUZ24Sp2lww,Nova KTV and Hotel,urban,bar,Bar,nightlife,13.674969,102.5684796,"Sameaki Meanchey Village, Krong Poi Pet 01407, Cambodia",4.6,27,,OPERATIONAL,https://www.facebook.com/novaktvpoipet,https://maps.google.com/?cid=907323776481773137&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;karaoke;bar;point_of_interest;establishment,night_club,Sisophon
ChIJVcenMCEXGzERRJB0orjM20A,Poipet Catholic Church Mary Magdala,cultural,church,Church,sightseeing,13.666025699999999,102.5795978,"MH8H+CR9, Krong Poi Pet, Cambodia",4.6,25,,OPERATIONAL,,https://maps.google.com/?cid=4673554131698618436&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,church;place_of_worship;point_of_interest;association_or_organization;establishment,church,Sisophon
ChIJbRTxBgAXGzERvSMnKUWxdTw,រង្វង់មូលប៉ោយប៉ែត,cultural,historical_landmark,Historical Landmark,,13.659659399999999,102.55278279999999,"MH53+V3W Preah Vishnu Eight Hands Monument Circle, Krong Poi Pet, Cambodia",4.6,24,,OPERATIONAL,,https://maps.google.com/?cid=4356583125152113597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Sisophon
