google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJzSEu_plJBTERgI6TV2YJdCg,Lok Ta Dambong Kra Nhoung,attraction,place_of_worship,Place of Worship,,13.0906299,103.20850879999999,"Sangke, Krong Battambang 12000, Cambodia",4.5,1098,,OPERATIONAL,,https://maps.google.com/?cid=2914965193976155776&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,place_of_worship;tourist_attraction;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJrcPvvQk5BTERGjrBG2O0HNM,ភ្នំបាណន់,attraction,tourist_attraction,Tourist Attraction,,12.954144,103.138932,"X43Q+M99, បាណន់, Cambodia",4.5,67,,OPERATIONAL,,https://maps.google.com/?cid=15212231979111103002&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJWU-9z143BTERP4gwk4sn2-U,Bat Cave Phnom Sampov,attraction,tourist_attraction,Tourist Attraction,,13.0266826,103.0991085,"បាណន់, Cambodia",4.5,1473,,OPERATIONAL,,https://maps.google.com/?cid=16562875535008499775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJ0cqWq49KBTERCFL-baAjvX4,Ek Phnom Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.162721699999999,103.1880046,"Peam Ek Village, Cambodia",4.3,761,,OPERATIONAL,,https://maps.google.com/?cid=9132494791324357128&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJ6b4fJx1KBTERJtTZEhSW-T8,Phare Ponleu Selpak,attraction,performing_arts_theater,Performing Arts Theater,,13.1115563,103.18595599999999,"456P+F7X ANCHANH VILLAGE, Phum Anh'Chanh, Cambodia",4.8,566,,OPERATIONAL,http://www.phareps.org/?ref=tour-gmaps,https://maps.google.com/?cid=4609880706550191142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,performing_arts_theater;tourist_attraction;non_profit_organization;event_venue;sports_school;school;educational_institution;service;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJX7U1irJLBTERdBUvkzzf5ek,Wat Samrong Knong,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.1276928,103.2200349,"46HC+32F, 153, Krong Battambang, Cambodia",4.5,281,,OPERATIONAL,,https://maps.google.com/?cid=16854122631764317556&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJIfytkY5JBTERof9PJnKo4wA,Romcheik 5 Artspace & Café,cultural,art_museum,Art museum,sightseeing,13.0994025,103.2036183,"Street 201A, Krong Battambang, Cambodia",4.7,500,,OPERATIONAL,https://bio.link/romcheik5artcafe,https://maps.google.com/?cid=64080027935834017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;art_gallery;tourist_attraction;art_museum;museum;cafe;restaurant;food_store;food;point_of_interest;store;establishment,tourist_attraction,Battambang town
ChIJCaP5zZJJBTERmNtvOY5pncg,Damrey Sor Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.094915799999999,103.19689009999999,"វត្តដំរីស Krong Battambang, Cambodia",4.3,433,,OPERATIONAL,,https://maps.google.com/?cid=14455826438499064728&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJyR62FSJJBTER8UwmLoRlgN0,Bamboo Train Ou Sra Lao,attraction,tourist_attraction,Tourist Attraction,,13.0185625,103.24331250000002,"Krong Battambang, Cambodia",4.3,303,,OPERATIONAL,,https://maps.google.com/?cid=15960868697785388273&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJy2FkqtwlBTER39LnQnS6k48,Kim Tours Battambang,attraction,tourist_attraction,Tourist Attraction,,13.028697099999999,102.989615,"2XHQ+FRH, Beng Krosal, Cambodia",5,1,,OPERATIONAL,,https://maps.google.com/?cid=10345817777501623007&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
