google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ6b4fJx1KBTERJtTZEhSW-T8,Phare Ponleu Selpak,attraction,performing_arts_theater,Performing Arts Theater,,13.1115563,103.18595599999999,"456P+F7X ANCHANH VILLAGE, Phum Anh'Chanh, Cambodia",4.8,566,,OPERATIONAL,http://www.phareps.org/?ref=tour-gmaps,https://maps.google.com/?cid=4609880706550191142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,performing_arts_theater;non_profit_organization;event_venue;sports_school;tourist_attraction;school;educational_institution;association_or_organization;service;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJIfytkY5JBTERof9PJnKo4wA,Romcheik 5 Artspace & Café,cultural,art_museum,Art museum,sightseeing,13.0994025,103.2036183,"Street 201A, Krong Battambang, Cambodia",4.7,500,,OPERATIONAL,https://bio.link/romcheik5artcafe,https://maps.google.com/?cid=64080027935834017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_gallery;coffee_shop;cafe;tourist_attraction;food_store;art_museum;museum;store;restaurant;point_of_interest;food;establishment,tourist_attraction,Battambang town
ChIJ1dlhHA9LBTERnZ8jZ8SeA1s,Lazy Mango Homestay // Battambang Tuk Tuk Buddy,attraction,hotel,Hotel,,13.1133888,103.2090765,"387, Group 18 Street 513, Krong Battambang 021105, Cambodia",4.9,192,,OPERATIONAL,https://www.booking.com/Share-8WGLHO,https://maps.google.com/?cid=6558260048762740637&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;guest_house;tour_agency;travel_agency;lodging;tourist_attraction;transportation_service;service;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJa0OyhSk5BTERx9uiNPUbbEQ,Banan Temple,cultural,hindu_temple,Hindu Temple,sightseeing,12.9509276,103.13978189999999,"X42Q+9WF, បាណន់, Cambodia",4.7,156,,OPERATIONAL,,https://maps.google.com/?cid=4930346432027876295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Battambang town
ChIJWU-9z143BTERP4gwk4sn2-U,Bat Cave Phnom Sampov,attraction,tourist_attraction,Tourist Attraction,,13.0266826,103.0991085,"បាណន់, Cambodia",4.5,1473,,OPERATIONAL,,https://maps.google.com/?cid=16562875535008499775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJzSEu_plJBTERgI6TV2YJdCg,Lok Ta Dambong Kra Nhoung,attraction,place_of_worship,Place of Worship,,13.0906299,103.20850879999999,"Sangke, Krong Battambang 12000, Cambodia",4.5,1096,,OPERATIONAL,,https://maps.google.com/?cid=2914965193976155776&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,place_of_worship;tourist_attraction;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJ02LZjYhJBTERhWYZRPhINSk,Battambang Catholic Church,cultural,church,Church,sightseeing,13.1043953,103.2078305,"Battambang, 153, Krong Battambang, Cambodia",4.9,53,,OPERATIONAL,http://www.battambangparish.org/,https://maps.google.com/?cid=2969359760452314757&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,church;place_of_worship;association_or_organization;point_of_interest;establishment,church,Battambang town
ChIJtRkfajVKBTERTHkkpbmIlqA,Samrong Krong Killing Field,cultural,historical_landmark,Historical Landmark,,13.128743499999999,103.2186591,"46H9+FFV, Krong Battambang, Cambodia",4.6,98,,OPERATIONAL,,https://maps.google.com/?cid=11571586623496026444&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJAxyblQBLBTERRdU34w4PUmQ,Ek Phnom Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.1627096,103.1873123,"557P+GR, Krong Battambang, Cambodia",4.7,57,,OPERATIONAL,,https://maps.google.com/?cid=7228856908499113285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Battambang town
ChIJX7U1irJLBTERdBUvkzzf5ek,Wat Samrong Knong,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.1276928,103.2200349,"46HC+32F, 153, Krong Battambang, Cambodia",4.5,281,,OPERATIONAL,,https://maps.google.com/?cid=16854122631764317556&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJC75PPKhJBTERY1wRecRdXyc,Independence Monument (Battambang),cultural,historical_landmark,Historical Landmark,,13.094033399999999,103.1984961,"35VX+HFV, Rd No 1, Krong Battambang, Cambodia",4.6,54,,OPERATIONAL,,https://maps.google.com/?cid=2837089388692855907&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Battambang town
ChIJubuj8o1JBTERS4Z-OHGrf4c,Wat Kandal,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.0976144,103.20149889999999,"36X2+2HX, Street 207, Krong Battambang, Cambodia",4.5,100,,OPERATIONAL,,https://maps.google.com/?cid=9763711019929994827&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJDxs1oY5JBTER-IlK8mJDr5s,វត្ត ពោធិ៍វាល,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.1013398,103.20313900000001,"4623+G7J, Krong Battambang, Cambodia",4.5,78,,OPERATIONAL,,https://maps.google.com/?cid=11218259289054022136&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Battambang town
ChIJrcPvvQk5BTERGjrBG2O0HNM,ភ្នំបាណន់,attraction,tourist_attraction,Tourist Attraction,,12.954144,103.138932,"X43Q+M99, បាណន់, Cambodia",4.5,67,,OPERATIONAL,,https://maps.google.com/?cid=15212231979111103002&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Battambang town
ChIJU__YaE5LBTERXm4SqXTNxxY,Ek Phnom Kun Khmer Arena,urban,stadium,Stadium,,13.1425954,103.19206349999999,"45VR+2RP, Street 1738, Krong Battambang, Cambodia",4.5,57,,OPERATIONAL,http://www.facebook.com/EkPhnomKunKhmer,https://maps.google.com/?cid=1641506490136292958&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,stadium;event_venue;sports_complex;sports_activity_location;point_of_interest;establishment,stadium,Battambang town
