google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJO0c7MWxADDERRRedO4FVPnc,Phnom Srei,cultural,historical_landmark,Historical Landmark,,12.0301181,105.4218176,"2CJC+2PW, Kampong Siem District, Cambodia",4.2,273,,OPERATIONAL,,https://maps.google.com/?cid=8592399152608778053&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJ1ZV7Q1NrDDERKIK7FKES3ow,Kizuna Bridge Roundabout,attraction,tourist_attraction,Tourist Attraction,,11.987103099999999,105.4619426,"XFP6+RQM, Krong Kampong Cham, Cambodia",4.2,420,,OPERATIONAL,,https://maps.google.com/?cid=10150571093186544168&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJ8cXNP14vDDERzjZevfJPWn0,Kbal Toek Chha Resort,cultural,restaurant,Restaurant,sightseeing;walking,12.199826999999999,105.2094818,"Unnamed Road, ភូមិ ថ្មដា, Cambodia",4,82,,OPERATIONAL,,https://maps.google.com/?cid=9032619906622699214&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;tourist_attraction;adventure_sports_center;national_park;park;museum;sports_complex;sports_activity_location;food;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJk3YpAp1qDDERkg_m07LH8tg,Nokor BaChey temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.999970699999999,105.4391395,"Wat Nokor, Bachey, Kampong Siem District, Cambodia",4.4,568,,OPERATIONAL,,https://maps.google.com/?cid=15632776827429588882&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJMXXWWwBtDDERSj7JH_g1FKk,ជីហែរ,attraction,tourist_attraction,Tourist Attraction,,11.8876736,105.4305835,"VCQJ+368, Kaoh Soutin, Cambodia",4.2,28,,OPERATIONAL,,https://maps.google.com/?cid=12183422231745478218&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJB8RSwQJrDDERQrOgxwyz6n0,Independence Monument (Kampong Cham),cultural,historical_landmark,Historical Landmark,,11.9991463,105.45156039999999,"Number7old កំពង់ចាម, Krong Kampong Cham 030403, Cambodia",4.4,39,,OPERATIONAL,,https://maps.google.com/?cid=9073261266761462594&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJ54CJRVdBDDERMt1ySxhV-0Q,Phnom Baley,attraction,tourist_attraction,Tourist Attraction,,12.035261799999999,105.4242642,"2CPF+4P, Kampong Siem District, Cambodia",4.8,10,,OPERATIONAL,,https://maps.google.com/?cid=4970660176566869298&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJK4IJOHJADDERutyr2n5zfBc,Phnom Bros Library,attraction,tourist_attraction,Tourist Attraction,,12.030605,105.4176256,"NR7, Cambodia",4.2,350,,OPERATIONAL,,https://maps.google.com/?cid=1692354548656233658&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJpz5y0jo_DDERTyVbaSjaCj4,រមណីយដ្ឋានបឹងធំ,attraction,tourist_attraction,Tourist Attraction,,12.014588999999999,105.354016,"2973+RJ, Traeung, Cambodia",4,23,,OPERATIONAL,,https://maps.google.com/?cid=4470625447219766607&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJY5uVVgBhDDERiDcGo88V19M,រង្វង់មូលសាលាខេត្តត្បូងឃ្មុំ,attraction,tourist_attraction,Tourist Attraction,,11.8961885,105.7813572,"VQWJ+FGH, Cambodia",3.5,4,,OPERATIONAL,,https://maps.google.com/?cid=15264693443533092744&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJIzM91yWJCzERzQOmvG9mRU0,បឹងកក់,attraction,tourist_attraction,Tourist Attraction,,11.571284,105.54787019999999,"HGCX+G49, Chrey, Cambodia",4.3,18,,OPERATIONAL,,https://maps.google.com/?cid=5567969144405885901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJ5UZHwUJ9DDERQdb7eENmaEM,ទឹកបាក់អាយ,attraction,tourist_attraction,Tourist Attraction,,11.7837078,105.78134399999999,"QQMJ+FG, Kandaol Chrum, Cambodia",4.5,6,,OPERATIONAL,,https://maps.google.com/?cid=4857244638097692225&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJC5Hd_IZBDDERGRtj4T1CvSc,Cheung Kok Ecotourism Village,attraction,tourist_attraction,Tourist Attraction,,12.0176155,105.4076351,"Cheung Kok Village, 2C95+23R, Cambodia",4.6,77,,OPERATIONAL,,https://maps.google.com/?cid=2863517771619310361&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJnY_U8GAlDDER5DRlb4G9UPQ,Toek Chha Tourism Site,attraction,tourist_attraction,Tourist Attraction,,12.1907105,105.1940489,"55RV+7JM, ភូមិ ថ្មដា, Cambodia",4.2,33,,OPERATIONAL,,https://maps.google.com/?cid=17604779307008603364&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJoZ6mor9tDDERfTp9ko-KwBI,Preah Theat Ba Srei Temple,cultural,hindu_temple,Hindu Temple,sightseeing,11.8474798,105.4756218,"RFWG+X6X, Tonle Bet, Cambodia",3.8,9,,OPERATIONAL,,https://maps.google.com/?cid=1351232237453785725&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJtbm_yIRpDDERN32BpW8FUMs,កន្លែងល្អសំរាប់ស្ទូចត្រី អង្គុយអាំងសាច់,attraction,tourist_attraction,Tourist Attraction,,11.962910899999999,105.5255273,"XG7F+XH, Tonle Bet, Cambodia",4.4,11,,OPERATIONAL,,https://maps.google.com/?cid=14650215564912459063&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJr5P0yr9tDDERYkYbuIxNpuE,Wat Preah theat,attraction,place_of_worship,Place of Worship,,11.846748999999999,105.474329,"RFWF+MPW, Cambodia",4.6,20,,OPERATIONAL,,https://maps.google.com/?cid=16259768771447309922&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJST51shZnDDERI3xUoV3eJfA,Suong Elephant Statue,attraction,tourist_attraction,Tourist Attraction,,11.911462,105.652006,"WM62+HVW, Suong, Cambodia",3.6,9,,OPERATIONAL,,https://maps.google.com/?cid=17304481636960992291&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJVyzgDQA5DDERT2BvaeQ2snw,ទឹកធ្លាក់,attraction,tourist_attraction,Tourist Attraction,,12.104290299999999,105.3736519,"493F+PF6, Cambodia",3,5,,OPERATIONAL,,https://maps.google.com/?cid=8985304561206911055&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
ChIJGwAEWABjDDERGs_VD0lc2RM,Ramp St. 71C,attraction,tourist_attraction,Tourist Attraction,,11.8650594,105.7328859,"VP8M+25C, Khnar, Cambodia",3.7,6,,OPERATIONAL,,https://maps.google.com/?cid=1430275825534881562&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Cham
