google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ8WttfLYhDzERksKLmpvLY_w,Tmor Kral Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.0503834,104.2842352,"Koh khtom Commune, Chieb Village, 372M+5M5, ឃុំ ទួលខ្ពស់, Cambodia",4.5,284,,OPERATIONAL,,https://maps.google.com/?cid=18186603589425414802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJUfrhqTWxDjERp_sGUg12RrI,Reachny LongVek,urban,amusement_center,Amusement Center,rides,11.850549599999999,104.77682490000001,"ផ្លូវ​ជាតិ​លេខ៥, រាជនីលង្វែក, Cambodia",4.3,100,,OPERATIONAL,,https://maps.google.com/?cid=12846084786703760295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cultural_center;resort_hotel;hotel;amusement_park;amusement_center;tourist_attraction;lodging;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJrZ1STgCNDjERN6Qg1TIbjMM,កំពង់ឆ្នាំង,attraction,tourist_attraction,Tourist Attraction,,12.222025499999999,104.6831732,"6MGH+4R, Krong Kampong Chhnang, Cambodia",3.9,16,,OPERATIONAL,,https://maps.google.com/?cid=14090667239273440311&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJfUNIe7iNDjERy1E1i3lgUl8,Kampong Chhnang Floating Village,attraction,tourist_attraction,Tourist Attraction,,12.2918839,104.6684097,"7MR9+Q93, Krong Kampong Chhnang, Cambodia",3.9,65,,OPERATIONAL,,https://maps.google.com/?cid=6868658456836264395&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJ7XAUbbjrDjER67-lLTg54QY,Kongkea Resort,attraction,tourist_attraction,Tourist Attraction,,12.106040199999999,104.5896697,"4H4Q+CV7, ឃុំ ជើងគ្រាវ, Cambodia",4,68,,OPERATIONAL,,https://maps.google.com/?cid=495740347434254315&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJB_I9qoDfDjERKwUwUpzZX_U,តំបន់ថ្មក្រាល,attraction,tourist_attraction,Tourist Attraction,,12.0459949,104.3853582,"3832+HV, ឃុំ ទួលខ្ពស់, Cambodia",4.9,10,,OPERATIONAL,,https://maps.google.com/?cid=17681089927496860971&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJwzZQOQC_DjER5ZHz0lrY5ak,ទំនប់កប់សេះ ខេត្តកំពង់ឆ្នាំង,attraction,tourist_attraction,Tourist Attraction,,12.0388658,104.6782313,"2MQH+G7X, Cambodia",4.5,10,,OPERATIONAL,,https://maps.google.com/?cid=12242429046674395621&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJpaexhB-lDjERmoKrTHv_Ka4,ភ្នំជាលា,attraction,tourist_attraction,Tourist Attraction,,11.9133041,104.9312236,"WW7J+8FH, Unnamed Road, Phoum Tom, Cambodia",4.4,23,,OPERATIONAL,,https://maps.google.com/?cid=12549842741676966554&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJW3ewZV3zDjERt67GCqRIe0w,ផ្លូវវាងក្រុងកំពង់ឆ្នាំង,attraction,tourist_attraction,Tourist Attraction,,12.2783333,104.5919315,"Poungror Market, NH 5, កំពង់ឆ្នាំង, Cambodia",3.3,7,,OPERATIONAL,,https://maps.google.com/?cid=5511078438410563255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJ-ctzDDOJDjERkMrE8K2xNTI,Phnom Da Sela Touk Meas Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.366562499999999,104.78743750000001,"9Q8P+JX, Khum Dar, Cambodia",4.3,3,,OPERATIONAL,,https://maps.google.com/?cid=3617993236288948880&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
