google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ8WttfLYhDzERksKLmpvLY_w,Tmor Kral Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.0503834,104.2842352,"Koh khtom Commune, Chieb Village, 372M+5M5, ឃុំ ទួលខ្ពស់, Cambodia",4.5,284,,OPERATIONAL,,https://maps.google.com/?cid=18186603589425414802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Chhnang
ChIJK2dpNuQpDDERlbNU6i6GHbQ,KuhNoKor Temple,cultural,hindu_temple,Hindu Temple,sightseeing,12.241922299999999,105.10025669999999,"64R2+Q46, ឃុំ ពង្រ, Cambodia",4.9,28,,OPERATIONAL,,https://maps.google.com/?cid=12978677237209674645&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Kampong Chhnang
ChIJCT9-8Qa6DjERZYyOfvtXvy8,Tralaeng Kaeng Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.865839,104.7603142,"VQ86+84P, 5, Longvek, Cambodia",4.6,69,,OPERATIONAL,,https://maps.google.com/?cid=3440565378006027365&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Chhnang
ChIJQXYqmTfDDjERV0gGmUx4gxw,ហាងជាងទយរមាសលក់ទូរស័ព្ទ,urban,shopping_mall,Shopping Mall,shopping,12.0484833,104.52525949999999,"2GXG+94R, Tuek Phos, Cambodia",4.7,34,,OPERATIONAL,,https://maps.google.com/?cid=2054618125391251543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,shopping_mall;point_of_interest;establishment,shopping_mall,Kampong Chhnang
ChIJV8I7XsqfDjERCMAb0b244dM,Taing Krasaing Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.0944383,104.9599468,"3XV5+QXG, Cambodia",4.8,25,,OPERATIONAL,,https://maps.google.com/?cid=15267687337159278600&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Chhnang
ChIJieaHzjCNDjER3D9FhWJnT6o,Independence Monument - Kampong Chhnang Province,nature,park,Park,walking,12.2510231,104.668448,"7M29+C94, Krong Kampong Chhnang, Cambodia",4.4,379,,OPERATIONAL,,https://maps.google.com/?cid=12272141182448254940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Kampong Chhnang
ChIJ3dMT56ifDjERv1bK-_U2omI,Phnom Cheung Prei Temple,cultural,hindu_temple,Hindu Temple,sightseeing,12.0630557,104.98987869999999,"3X7Q+6XC, Ph'av, Cambodia",4.5,36,,OPERATIONAL,,https://maps.google.com/?cid=7107303592063293119&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Kampong Chhnang
ChIJV3YejiwpDDERcwOyB7U2t1k,Che La,urban,shopping_mall,Shopping Mall,shopping,12.248812000000001,105.12369500000001,"64XF+GFG, NR6, ឃុំ សូយោង, Cambodia",4.5,21,,OPERATIONAL,,https://maps.google.com/?cid=6464695941259723635&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,shopping_mall;point_of_interest;establishment,shopping_mall,Kampong Chhnang
ChIJKVKQdeXxDjERQY8uWELlgGQ,Wat Ta Sot - Chantappakjot Tanaram Khmer Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.241937499999999,104.55320309999999,"6HR3+Q7G, ភូមិប៉ាកឡាង, Rolea B'ier District, Cambodia",4.4,84,,OPERATIONAL,,https://maps.google.com/?cid=7242040273921806145&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Chhnang
ChIJ8yAmJRhXDjERLvmOPrkPrIk,UTYEANTEPROKHA SOURKEALEY RESTAURANT ឧទ្យានទេពរុក្ខាសួគា៍ល័យ,cultural,restaurant,Restaurant,sightseeing,12.4445027,104.45770979999999,"AH1, Baribour District, Cambodia",4.4,26,,OPERATIONAL,https://www.facebook.com/ra.eoy.1,https://maps.google.com/?cid=9920321367483283758&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;museum;food;point_of_interest;establishment,museum,Kampong Chhnang
