google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJLeNtTXF2DjERu2-05wBv6yQ,Phnom Santuk,attraction,historical_place,Historical Place,,12.6451896,105.00195180000001,"J2W2+3QG, Krong Stueng Saen, Cambodia",4.2,284,,OPERATIONAL,,https://maps.google.com/?cid=2660342054570454971&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_place;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJlTRuy5MlDjER_NBxW521-mM,Chamka TaKna,attraction,tourist_attraction,Tourist Attraction,,13.009551,104.5688887,"2H59+RHC, NR6, Cambodia",4.3,37,,OPERATIONAL,,https://maps.google.com/?cid=7204270241381208316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJRcXoTgBxDjERXBMNsYsp__Q,ក្រុងស្ទឹងសែន,attraction,tourist_attraction,Tourist Attraction,,12.7084716,104.8899072,"PV5Q+9XM, Krong Stueng Saen, Cambodia",4.3,19,,OPERATIONAL,,https://maps.google.com/?cid=17653874744263250780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJ5Shabk7jDTEReJtb6kKUXhU,ទឹកធ្លាក់ធ្នូសតាព្រហ្ម,attraction,tourist_attraction,Tourist Attraction,,12.8221829,105.1258955,"ទឹកធ្លាក់ធ្នូសតាព្រហ្ម, R4CG+V9C, Prasat Sambour​ District, Cambodia",3.6,11,,OPERATIONAL,,https://maps.google.com/?cid=1539831137727912824&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJn79qQJoDDjERgBnJjX82mSw,Mreak River Resort,attraction,tourist_attraction,Tourist Attraction,,13.0322909,104.921769,"Street 62 Kampong Thom, 06255, Cambodia",4.3,22,,OPERATIONAL,,https://maps.google.com/?cid=3213659730573072768&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJSQuFqXJzDjERb3Obfc2iHDU,Independence Monument - Kampong thom,attraction,tourist_attraction,Tourist Attraction,,12.7113069,104.8888413,"PV6Q+GGG, វិថី ប្រជាធិបតេយ្យ, Krong Stueng Saen, Cambodia",4.3,32,,OPERATIONAL,,https://maps.google.com/?cid=3827112786817413999&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJ-ctzDDOJDjERkMrE8K2xNTI,Phnom Da Sela Touk Meas Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.366562499999999,104.78743750000001,"9Q8P+JX, Khum Dar, Cambodia",4.3,3,,OPERATIONAL,,https://maps.google.com/?cid=3617993236288948880&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJXf7pZ37RDTERgflK5N6eySk,ចំណតទូកទឹកស្អាត ១ មករា,attraction,tourist_attraction,Tourist Attraction,,12.5073337,105.1488876,"G44X+WHJ, ភូមិស្នោ ឃុំកំពង់ថ្ម, កំពង់ថ្ម, Cambodia",4.5,24,,OPERATIONAL,,https://maps.google.com/?cid=3011112506023934337&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJLaXUe9sLDjER0H9WTXhl-WY,ភូមិត្នោត ឃុំកំពង់ស្វាយ ស្រុកកំពង់ស្វាយ ខេត្តកំពង់ធំ,attraction,tourist_attraction,Tourist Attraction,,12.7802762,104.9692161,"QXCC+63, ឃុំ ព្រៃគុយ, Cambodia",4,2,,OPERATIONAL,,https://maps.google.com/?cid=7420073428437598160&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJwZcwWAB3DjERIsVTLiGHYE8,ឆ្នេរព្រេកចាក,attraction,tourist_attraction,Tourist Attraction,,12.565679,104.990963,"HX8R+79G, Tnaot Chum, Cambodia",5,1,,OPERATIONAL,,https://maps.google.com/?cid=5719720103341442338&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJWb61xP5_DjERu-zwiA9Q_Z0,បឹងរៀល,attraction,tourist_attraction,Tourist Attraction,,12.4301743,104.9865602,"CXJP+3J, Cambodia",4,4,,OPERATIONAL,,https://maps.google.com/?cid=11384343460714704059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJJ1C5kB1jDjERidqi1WA_aH8,ភ្នំកង្កែប,attraction,tourist_attraction,Tourist Attraction,,12.411526300000002,104.7959346,"CQ6W+J9, Khum Dar, Cambodia",3,1,,OPERATIONAL,,https://maps.google.com/?cid=9180657525528386185&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
