google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJlRpqTCoIDjERIFpC_Mdk9To,Sambor Prei Kuk Ticket Booth,cultural,museum,Museum,sightseeing,12.8720834,105.0350579,"V2CP+R2M, Prasat Sambour​ District, Cambodia",4.5,67,,OPERATIONAL,https://whc.unesco.org/en/list/1532/,https://maps.google.com/?cid=4248412633587407392&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Kampong Thom
ChIJQzFc8JF0DjERbb-r5IAMGRU,Sampow Trailok Traileak,cultural,cultural_center,Cultural Center,sightseeing,12.7097572,104.9557794,"PX54+W82, ឃុំ ព្រៃគុយ, Cambodia",4.4,69,,OPERATIONAL,,https://maps.google.com/?cid=1520260096946061165&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cultural_center;buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Thom
ChIJMwXRkYfiDTERKU7Swmro1mM,Prasat Chrei,cultural,,,sightseeing,12.872510799999999,105.04207500000001,"V2FR+2R4, 219, Cambodia",4.5,27,,OPERATIONAL,,https://maps.google.com/?cid=7194193000003685929&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Kampong Thom
ChIJXf7pZ37RDTERgflK5N6eySk,ចំណតទូកទឹកស្អាត ១ មករា,attraction,tourist_attraction,Tourist Attraction,,12.5073337,105.1488876,"G44X+WHJ, ភូមិស្នោ ឃុំកំពង់ថ្ម, កំពង់ថ្ម, Cambodia",4.5,24,,OPERATIONAL,,https://maps.google.com/?cid=3011112506023934337&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJUxcT-N5yDjERkdBTepzMavo,Kampong Thom Museum,cultural,museum,Museum,sightseeing,12.7272071,104.8884319,"PVGQ+V9M, Krong Stueng Saen, Cambodia",4.3,120,,OPERATIONAL,,https://maps.google.com/?cid=18044459829452591249&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Kampong Thom
ChIJlTRuy5MlDjER_NBxW521-mM,Chamka TaKna,attraction,tourist_attraction,Tourist Attraction,,13.009551,104.5688887,"2H59+RHC, NR6, Cambodia",4.3,37,,OPERATIONAL,,https://maps.google.com/?cid=7204270241381208316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJSQuFqXJzDjERb3Obfc2iHDU,Independence Monument - Kampong thom,attraction,tourist_attraction,Tourist Attraction,,12.7113069,104.8888413,"PV6Q+GGG, វិថី ប្រជាធិបតេយ្យ, Krong Stueng Saen, Cambodia",4.3,32,,OPERATIONAL,,https://maps.google.com/?cid=3827112786817413999&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJtfaHiJ4TDjERRUy-d1EBrpE,Wat Bakong,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.8009323,104.77014319999999,"NR6, Cambodia",4.3,31,,OPERATIONAL,,https://maps.google.com/?cid=10497329230860143685&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Thom
ChIJn79qQJoDDjERgBnJjX82mSw,Mreak River Resort,attraction,tourist_attraction,Tourist Attraction,,13.0322909,104.921769,"Street 62 Kampong Thom, 06255, Cambodia",4.3,22,,OPERATIONAL,,https://maps.google.com/?cid=3213659730573072768&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampong Thom
ChIJT2pDvh3YDTER8BlBhtAmbOA,Taing Krasaing Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.5597839,105.04809379999999,"H25X+W69, សន្ទុក, Cambodia",4.2,36,,OPERATIONAL,,https://maps.google.com/?cid=16171343039028074992&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kampong Thom
