google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ-2C_MQ_LCTER46jGCjw8Gjs,BoTree Farm,coffee,food_store,Food Store,coffee,coffee,10.5902621,104.3263664,"Bo Tree Farm, Kon Sat, 070207, Cambodia",4.9,704,,OPERATIONAL,http://www.botree.asia/,https://maps.google.com/?cid=4258782626208721123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;tour_agency;travel_agency;food_store;service;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJSV2VEog2CDERBWI4bd_rwEo,Epic Arts Café,coffee,cafe,Cafe,coffee,coffee,10.6074181,104.1841687,"ភូមិ សុវណ្ណសាគរ, សង្កាត់ កំពង់កណ្តាល, ក្រុង កំពត, Cambodia",4.8,1548,PRICE_LEVEL_MODERATE,OPERATIONAL,https://epicarts.org.uk/pages/epic-arts-cafe,https://maps.google.com/?cid=5386564499177759237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;coffee_shop;breakfast_restaurant;food_store;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJX2oyrmk3CDERpSMLy6xIqeU,Blend House Cafè & Zen House Yoga,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6083308,104.1793639,"ផ្លូវ 32 មាត់ទន្លេ, សង្កាត់ កំពត, Look for small alleway, Kampot, Cambodia",4.9,300,,OPERATIONAL,https://cafeyoga.wixsite.com/blendhouse-cafe-1,https://maps.google.com/?cid=16548838212727677861&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;yoga_studio;vegan_restaurant;cafe;brunch_restaurant;vegetarian_restaurant;fitness_center;sports_school;sports_complex;gym;sports_activity_location;food_store;health;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJzVuib4g2CDERNfS1VE-rItg,Simple Things,coffee,vegetarian_restaurant,Vegetarian Restaurant,coffee,coffee,10.607987,104.180593,"Old Market, Street, 54, Kampot, Cambodia",4.7,752,,OPERATIONAL,https://www.facebook.com/simple.things.kampot,https://maps.google.com/?cid=15574198818612573237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,vegetarian_restaurant;yoga_studio;coffee_shop;breakfast_restaurant;vegan_restaurant;cafe;fitness_center;sports_school;sports_complex;gym;sports_activity_location;food_store;health;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJBUMgAgA3CDERjsIaZkW-uVs,Le Corner,coffee,restaurant,Restaurant,coffee,coffee,10.6078475,104.18025569999999,"Old Market, Kampot, Cambodia",4.9,214,,OPERATIONAL,,https://maps.google.com/?cid=6609523133417964174&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;coffee_shop;cafe;bakery;food_store;store;food;point_of_interest;establishment,coffee_shop,Bokor National Park
ChIJ6ZBeBPo3CDERh-KR0UALtoU,"Monkey Republic Kampot Cafe, Bar & Kitchen",coffee,restaurant,Restaurant,coffee,coffee,10.6074743,104.1839675,"730, Kampot, Cambodia",4.6,441,,OPERATIONAL,https://www.monkeyrepublickampot.com/,https://maps.google.com/?cid=9634900825827566215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;beer_garden;cafe;bar;food;point_of_interest;establishment,cafe,Kampot town
ChIJCdvG3IQ3CDERk3KoLf8iUaw,"The Bookshop, Kampot",coffee,book_store,Book Store,coffee,coffee,10.609072099999999,104.18031189999999,"56 street 722, Kampot, Cambodia",4.8,90,,OPERATIONAL,,https://maps.google.com/?cid=12416744127015187091&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,book_store;coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Bokor National Park
ChIJ7dB97Lc3CDERjfhGnaG-iy8,The Café Station,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6086844,104.181148,"724, Kampot 11855, Cambodia",4.7,91,,OPERATIONAL,,https://maps.google.com/?cid=3426041542883080333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;pastry_shop;dessert_shop;cafe;confectionery;bakery;tea_store;food_store;store;food;point_of_interest;establishment,coffee_shop,Bokor National Park
ChIJ98KuYQDLCTER2LEtopbAP20,Lake cafe&បឹងកាហ្វេ,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6028209,104.2907717,"Tuek Chhou, Cambodia",5,30,,OPERATIONAL,,https://maps.google.com/?cid=7872222426865447384&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Phnom Chhnork caves
ChIJPTFzlbpJCDER2UXBLoO0HAM,River Park - Activity ឧទ្យានដងព្រែក,coffee,water_park,Water Park,coffee,coffee,10.6689738,104.1584111,"M595+H99, Unnamed Road, Snam Brampi, Kampot, Cambodia",4.6,92,,OPERATIONAL,https://www.facebook.com/riverpark.kampot?mibextid=ZbWKwL,https://maps.google.com/?cid=224252556979815897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,water_park;coffee_shop;cafe;amusement_park;food_store;association_or_organization;service;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJoYXPNoF3DjERzwKG97Ke8IU,Veranda Natural Resort,coffee,hotel,Hotel,coffee,coffee,10.4877956,104.2948806,"kep Cambodia, Cambodia",4.5,937,,OPERATIONAL,http://www.veranda-resort.asia/,https://maps.google.com/?cid=9651388492949095119&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;coffee_shop;cafe;liquor_store;swimming_pool;spa;bakery;resort_hotel;bar;sports_activity_location;food_store;lodging;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJaWrbTWs3CDERWyUZVFr0H44,Salt kampot អំបិល,coffee,restaurant,Restaurant,coffee,coffee,10.6065322,104.1795708,"Riverside road, Kampot 07451, Cambodia",4.5,159,,OPERATIONAL,https://www.facebook.com/profile.php?id=61554639712509&mibextid=LQQJ4d,https://maps.google.com/?cid=10241172746458965339&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;cafe;association_or_organization;food;point_of_interest;establishment,cafe,Kampot town
ChIJa6-glLQ3CDERBRz0CmHSWR4,Analog coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6162273,104.1785589,"91 NR3, Kampot, Cambodia",4.5,131,,OPERATIONAL,,https://maps.google.com/?cid=2187010408302517253&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJZ6AjDwA3CDERArXhnE80SgI,Coffee Corner Kampot,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6087113,104.181226,"25 ផ្លូវលេខ ៧២៩, Kampot, Cambodia",4.3,23,,OPERATIONAL,,https://maps.google.com/?cid=165001852891542786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJqVOyAAA3CDERE6yQJPP9jxM,Valley Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6501313,104.1357049,"M42P+37, Kampot, Cambodia",4.3,32,,OPERATIONAL,,https://maps.google.com/?cid=1409624429122595859&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJ0_lxSQBJCDER8eSnLLVUFZI,ខ្សែរ៉ក ដងព្រែក ( Zip Line Dong Prek ),coffee,coffee_shop,Coffee Shop,coffee,coffee,10.66875,104.1581667,"M595+G7, Snam Brampi, Cambodia",4.2,28,,OPERATIONAL,,https://maps.google.com/?cid=10526412841163416817&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJJyumWs83CDERQ_7nmn8y9hY,Brown Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.606737500000001,104.1795328,"street 735, corner 726, Kampot 070202, Cambodia",4.4,221,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.browncoffee.com.kh/,https://maps.google.com/?cid=1654565436746366531&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJvaIBHSE3CDERwCITEDD-HPE,Corner Café,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6068845,104.18317189999999,"No.1 St 730 (Guesthouse Street, Kampot, Cambodia",4.2,54,,OPERATIONAL,http://facebook.com/CornerCafe730,https://maps.google.com/?cid=17374040944870105792&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Bokor National Park
ChIJL03V-hc1CDERiByGBUyiONM,Khleang Ambel Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.602813699999999,104.21348569999999,"Kampot Province, Cambodia Krong Kampot, 13205, Cambodia",4.3,93,,OPERATIONAL,https://www.facebook.com/share/S6LvrGiRYurWnRRH/?mibextid=wwXIfr,https://maps.google.com/?cid=15220093388092480648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJjQW1y0jNCTERd_5vWB98EwM,Led Zep Cafe កាហ្វេលើភ្នំ,coffee,cafe,Cafe,coffee,coffee,10.489756,104.29609789999999,"F7QW+WC5, Krong Kaeb, Cambodia",4.4,368,,OPERATIONAL,http://kep-cambodia.com/mainpages/kep-national-park.html,https://maps.google.com/?cid=221657280740851319&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Kampot town
ChIJ85G0NYk1CDERpzdF8N5Awek,Salt Farm Coffee(ស្រែអំបិល កាហ្វេ),coffee,coffee_shop,Coffee Shop,coffee,coffee,10.5969199,104.2103692,"Kampot, Cambodia",4.2,67,,OPERATIONAL,,https://maps.google.com/?cid=16843815407600351143&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJIxrZDdQ3CDERPqpj-zoWPKw,ជ្រលងវេហា Valley VEHA,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6160603,104.1336875,"ផ្លូវចូលវាលពួច, Kampot 070801, Cambodia",4,45,,OPERATIONAL,,https://maps.google.com/?cid=12410819115707771454&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
