google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJleliBQNbCDER-Hbv947sv8Y,Bokor Hill Station,attraction,scenic_spot,Scenic Spot,,10.6221396,104.0265889,"J2CG+VJ4, Phumi Pôpôk Vil, Cambodia",4.3,2826,,OPERATIONAL,,https://maps.google.com/?cid=14321425438850643704&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;hotel;casino;tourist_attraction;lodging;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJDTAcRwA3CDERq2PJqoaN0K8,Seahorse Statue,attraction,sculpture,Sculpture,,10.6048005,104.179681,"J53H+WVF, ផ្លូវលេខ ៧៣៥, Kampot, Cambodia",4.5,857,,OPERATIONAL,,https://maps.google.com/?cid=12668781361323664299&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,sculpture;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJQ7wg7nFbCDERQFbvKlfUj0M,Preah Monivong Bokor National Park,nature,national_park,National Park,walking,10.640157799999999,104.0291132,"National Hwy 3, Cambodia",4.3,2488,,OPERATIONAL,https://www.tourismcambodia.org/,https://maps.google.com/?cid=4868343193058367040&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJAQkcL8Q3CDERwyoCXmNSrzE,Veal Pouch Waterfall,attraction,scenic_spot,Scenic Spot,,10.614188600000002,104.12061609999999,"Unnamed Road, Kampot, Cambodia",4.1,266,,OPERATIONAL,,https://maps.google.com/?cid=3580170815515273923&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJ__A43YwxCDERRkttp-riDBY,Coconut Beach,attraction,scenic_spot,Scenic Spot,,10.541004299999999,104.18252749999999,"G5RM+C22, Unnamed Road, Kampot, Cambodia",3.6,333,,OPERATIONAL,,https://maps.google.com/?cid=1588894266014124870&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJRR7GLYA4CDERFYNurmqxM6o,Popokvil Waterfall,attraction,scenic_spot,Scenic Spot,,10.6587523,104.0512562,"M352+GG2, Phumi Pôpôk Vil, Cambodia",3.9,1016,,OPERATIONAL,,https://maps.google.com/?cid=12264341282011120405&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJPYomvls1CDERZer01iHe20U,Phnom Chhngok Cave,attraction,,,,10.6426648,104.2701378,"J7VC+336, Tuek Chhou, Cambodia",4.1,602,,OPERATIONAL,,https://maps.google.com/?cid=5033861245438323301&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJX94vv884CDERSOrMhyiBoL8,Wat Sampov Pram,cultural,buddhist_temple,Buddhist Temple,sightseeing,10.629872299999999,104.0173641,Cambodia,4.5,649,,OPERATIONAL,,https://maps.google.com/?cid=13808178468594969160&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJnVcMEE_NCTERJE48MVseQpc,Kep National Park,nature,national_park,National Park,walking,10.491930799999999,104.2998343,"Krong Kaeb, Cambodia",4.2,407,,OPERATIONAL,,https://maps.google.com/?cid=10899307425206914596&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Kampot town
ChIJMWv7bgpICDER4g_2X0A6ebM,Tada Roung Chan Waterfall,attraction,scenic_spot,Scenic Spot,,10.675860600000002,104.10107889999999,"ផ្លូវចូល​ទឹកធ្លាក់ថ្មតាដា, Cambodia",3.4,401,,OPERATIONAL,,https://maps.google.com/?cid=12932431853133369314&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kampot town
