google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJEfPby0RRCTERZOuHF6zhiCU,Wat Phnom Daun Penh,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.5761468,104.9230891,"ផ្លូវវត្តភ្នំ, Phnom Penh, Cambodia",4.4,9283,,OPERATIONAL,,https://maps.google.com/?cid=2704659705481390948&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;historical_landmark;tourist_attraction;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJ42tqxz1RCTER36bOGZOA8fg,Royal Palace of Cambodia,cultural,historical_landmark,Historical Landmark,,11.563877000000002,104.9312521,"Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.3,13450,,OPERATIONAL,,https://maps.google.com/?cid=17938260160074917599&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJc_VXyT9RCTERA0qYd_HURUE,Orussey Market,attraction,market,Market,,11.5626462,104.917031,"Oknha Tep Phan St. (182), Phnom Penh, Cambodia",4.2,11708,,OPERATIONAL,https://www.facebook.com/%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%9A%E1%9E%A2%E1%9E%BC%E1%9E%9A%E1%9E%AC%E1%9E%9F%E1%9F%92%E1%9E%9F%E1%9E%B8-103004678702508,https://maps.google.com/?cid=4703399519417027075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJ42tqxz1RCTERsG1wcg9Cxeo,Independence Monument,attraction,monument,Monument,,11.556434399999999,104.9282037,"Norodom Blvd, 41, Phnom Penh, Cambodia",4.5,5210,,OPERATIONAL,,https://maps.google.com/?cid=16917000209399049648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,monument;tourist_attraction;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJw8jeJSJRCTERp9gvbl8l0hM,Tuol Sleng Genocide Museum,cultural,museum,Museum,sightseeing,11.548850999999999,104.9176751,"Street 113, 3, Phnom Penh, Cambodia",4.6,11984,,OPERATIONAL,https://tuolsleng.gov.kh/,https://maps.google.com/?cid=1428245123630618791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;tourist_attraction;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJE3hv6RlRCTER9pgBsIRt1tk,Olympic Market,attraction,market,Market,,11.5536394,104.91126729999999,"ផ្លូវលេខ 310, ផ្ទះលេខ 26, Phnom Penh, Cambodia",4.2,5472,,OPERATIONAL,,https://maps.google.com/?cid=15696853967902447862&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,market;tourist_attraction;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJ9Qr0h09RCTER5Ent2yE5uDs,Phnom Penh Night Market,attraction,market,Market,,11.5740451,104.92719369999999,"HWFG+JV8, Preah Sisowath Quay, Phnom Penh, Cambodia",4,11696,,OPERATIONAL,,https://maps.google.com/?cid=4303252261538974180&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJqUiG40lRCTERO91s5YjVEoY,Royal Palace Park,nature,park,Park,walking,11.56523,104.932222,"HW8J+3VX, Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.5,5496,,OPERATIONAL,,https://maps.google.com/?cid=9661018934604520763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;garden;tourist_attraction;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJyZ59w2VaCTER07FCdaW0gMc,Choeung Ek Genocidal Center,cultural,history_museum,History Museum,sightseeing,11.484245099999999,104.9013585,"FVMW+QX8, ផ្លូវជើងឯក, Phnom Penh, Cambodia",4.6,2060,,OPERATIONAL,,https://maps.google.com/?cid=14375688633296531923&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,history_museum;tourist_attraction;museum;point_of_interest;establishment,tourist_attraction,Ta Khmau
ChIJO0f6VkT9CzERGd7UrPYEFDU,Koh slaket resort,attraction,tourist_attraction,Tourist Attraction,,11.499865800000002,105.0754936,"Davitra Institute, National street1 Dey Et Koh Phos Village, Dey Et Commune, 081003, Kien Svay 081003, Cambodia",4.3,426,,OPERATIONAL,https://www.kohslaketstudios.com/,https://maps.google.com/?cid=3824687441052491289&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Ta Khmau
