google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ-2C_MQ_LCTER46jGCjw8Gjs,BoTree Farm,coffee,food_store,Food Store,coffee,coffee,10.5902621,104.3263664,"Bo Tree Farm, Kon Sat, 070207, Cambodia",4.9,704,,OPERATIONAL,http://www.botree.asia/,https://maps.google.com/?cid=4258782626208721123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;tour_agency;cafe;travel_agency;food_store;store;service;restaurant;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJzzjdX_Y3CDERaCeoIrj4UbM,CV Café,coffee,cafe,Cafe,coffee,coffee,10.6066514,104.1860555,"Street 724, Kampot, Cambodia",4.9,202,,OPERATIONAL,https://www.facebook.com/profile.php?id=100032892681369,https://maps.google.com/?cid=12921382275641780072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;vegan_restaurant;vegetarian_restaurant;restaurant;food;point_of_interest;establishment,cafe,Kep town
ChIJOfmnN7PNCTERvKcu8H6qYBU,Kep Coffee,coffee,cafe,Cafe,coffee,coffee,10.480124799999999,104.31465260000002,"St.33A, Kep Village, Kep Commune, Kep City, Krong Kaeb, Cambodia",4.8,131,,OPERATIONAL,https://t.me/kepcoffeecafe,https://maps.google.com/?cid=1540418534732900284&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Kep town
ChIJoYXPNoF3DjERzwKG97Ke8IU,Veranda Natural Resort,coffee,hotel,Hotel,coffee,coffee,10.4877956,104.2948806,"kep Cambodia, Cambodia",4.5,937,,OPERATIONAL,http://www.veranda-resort.asia/,https://maps.google.com/?cid=9651388492949095119&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;swimming_pool;resort_hotel;coffee_shop;liquor_store;spa;cafe;bakery;food_store;store;sports_activity_location;bar;lodging;restaurant;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJ8wboIwDNCTER7LayAhGkQWo,JAMNORT CAFE,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.478221999999999,104.290281,"F7HQ+FWP, Krong Kaeb, Cambodia",4.6,34,,OPERATIONAL,,https://maps.google.com/?cid=7656581234473219820&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJeQkqqk3NCTERnin0d1bM0y4,Arts Cafe,coffee,restaurant,Restaurant,coffee,coffee,10.4867653,104.2891349,"Crab Market, Cambodia",4.4,270,,OPERATIONAL,http://www.facebook.com/artscafekep/,https://maps.google.com/?cid=3374265217582377374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJjQW1y0jNCTERd_5vWB98EwM,Led Zep Cafe កាហ្វេលើភ្នំ,coffee,cafe,Cafe,coffee,coffee,10.489756,104.29609789999999,"F7QW+WC5, Krong Kaeb, Cambodia",4.4,368,,OPERATIONAL,http://kep-cambodia.com/mainpages/kep-national-park.html,https://maps.google.com/?cid=221657280740851319&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Kep town
ChIJk-91fUzNCTERscLNVHaBQ9I,Samut Coffee,coffee,cafe,Cafe,coffee,coffee,10.4893957,104.2891501,"F7QQ+QM2, Krong Kaeb, Cambodia",4.4,66,,OPERATIONAL,http://www.facebook.com/samutcoffee,https://maps.google.com/?cid=15151095916633375409&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Kep town
ChIJhzPpmsTNCTERVuQ8ObQnffc,café Amazon ដំណាក់ចង្អើរ,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.537922,104.32545,"G8QG+558, Damnak Chang'aeur District, Cambodia",4.3,21,,OPERATIONAL,,https://maps.google.com/?cid=17833453754464920662&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep National Park
ChIJDWoKUADNCTER30f-xjYYbg4,Tranquil Cafe Kep-ត្រង់គីលកាហ្វេ,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.489012899999999,104.2892006,"F7QQ+QM2, Krong Kaeb, Cambodia",4.3,27,,OPERATIONAL,https://t.me/tranquil_cafe_info,https://maps.google.com/?cid=1039795187515017183&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJL03V-hc1CDERiByGBUyiONM,Khleang Ambel Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.602813699999999,104.21348569999999,"Kampot Province, Cambodia Krong Kampot, 13205, Cambodia",4.3,93,,OPERATIONAL,https://www.facebook.com/share/S6LvrGiRYurWnRRH/?mibextid=wwXIfr,https://maps.google.com/?cid=15220093388092480648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJ9_aeb4Y2CDERVrvfsVv6Wvc,The Hideout,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6060625,104.18323350000001,"Prison Road, Kampot, Cambodia",4.1,38,,OPERATIONAL,,https://maps.google.com/?cid=17823833747005356886&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
ChIJ3ZqXhKXNCTER1mAhKqy-fP0,Zipline Cafe,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.4792043,104.29603089999999,"F7HW+97X Main Beach Road Kep Beach, Krong Kaeb, Cambodia",4.3,148,,OPERATIONAL,,https://maps.google.com/?cid=18265683835358372054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Kep town
