google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJwSUjv4rLCTERVjTmtC7_k9A,Sothy's Pepper Farm,attraction,farm,Farm,,10.559308999999999,104.35474699999999,"1333, Cambodia",4.7,571,,OPERATIONAL,http://mykampotpepper.asia/,https://maps.google.com/?cid=15029636957534041174&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;cambodian_restaurant;farm;food_store;restaurant;food;service;store;point_of_interest;establishment,tourist_attraction,Kep town
ChIJjU1yPuvNCTER1h5TyBfqegs,Paris Kep Restaurant,urban,restaurant,Restaurant,nightlife,10.480267099999999,104.29408699999999,"Kep beach, Krong Kaeb, Cambodia",4.8,114,,OPERATIONAL,,https://maps.google.com/?cid=827230869441945302&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;pizza_restaurant;cocktail_bar;karaoke;french_restaurant;night_club;gastropub;bar;fusion_restaurant;food;point_of_interest;establishment,night_club,Kep town
ChIJqRLI1JTLCTERewAyEZnTCt0,La Plantation Spice Bar,urban,lounge_bar,Lounge bar,nightlife,10.6114378,104.3168483,"Bosnhenh Village, Kampot 070207, Cambodia",4.9,41,,OPERATIONAL,https://laplantation.com/,https://maps.google.com/?cid=15927775686521127035&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,lounge_bar;night_club;bar;point_of_interest;establishment,night_club,Kep town
ChIJtW1yXgfNCTER2CexDbpPR18,Landscape Tower,attraction,observation_deck,Observation Deck,,10.500304,104.302189,"G822+4V, Krong Kaeb, Cambodia",4.7,56,,OPERATIONAL,,https://maps.google.com/?cid=6865543817461835736&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,observation_deck;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kep National Park
ChIJuUuOLlg0CDER6Z1LJFTLIGE,Trapeang Sangkae Fishery Community,nature,park,Park,walking,10.5959101,104.23710849999999,"H6WP+9R9, Tuek Chhou, Cambodia",4.4,224,,OPERATIONAL,,https://maps.google.com/?cid=6998817383180377577&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Kep town
ChIJkXqLDRbNCTER9mVs0OcVwVA,Vipassana Dhura Kep,cultural,buddhist_temple,Buddhist Temple,sightseeing,10.500029099999999,104.31379179999999,"Krong Kaeb, Cambodia",4.4,196,,OPERATIONAL,,https://maps.google.com/?cid=5818956278917785078&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kep town
ChIJWYsdIUjNCTERT0I3I2-ywqs,Kep Lodge,urban,hotel,Hotel,nightlife,10.4949855,104.2963192,"Pepper Street 1, Krong Kaeb 15000, Cambodia",4.4,158,,OPERATIONAL,http://www.keplodge.com/,https://maps.google.com/?cid=12376650916369482319&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;lounge_bar;cambodian_restaurant;resort_hotel;swimming_pool;european_restaurant;night_club;lodging;bar;sports_activity_location;restaurant;food;point_of_interest;establishment,night_club,Kep town
ChIJr6xUEAs1CDER7YtY_Xn9NfU,Kampot River beach,attraction,scenic_spot,Scenic Spot,,10.5825756,104.2016604,"H6M2+2M, Kampot, Cambodia",4.4,141,,OPERATIONAL,,https://maps.google.com/?cid=17669307413441317869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Kep town
ChIJwfeZynTbCTERTLYWfAqONHc,ភ្នំទឹកធំ,attraction,tourist_attraction,Tourist Attraction,,10.4397333,104.48035159999999,"CFQJ+V4X, Hà Tiên, Cambodia",4.4,139,,OPERATIONAL,,https://maps.google.com/?cid=8589646564985058892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kep town
ChIJb6UKqSs0CDERtVcLnhb1rNs,Wat Chum Kreal,cultural,buddhist_temple,Buddhist Temple,sightseeing,10.606354,104.2051419,"J644+G3R, 33, Kampot, Cambodia",4.6,27,,OPERATIONAL,,https://maps.google.com/?cid=15829296267790079925&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Kep town
