google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ1ccU9LQTDTERER_hhvbzJao,Kampi Mega Rapid,attraction,tourist_attraction,Tourist Attraction,,12.6166506,106.0204603,"J28C+M58, Kampi, Cambodia",4.2,272,,OPERATIONAL,,https://maps.google.com/?cid=12260473800736448273&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJP_SBSMoTDTERJU35n2gzVao,Mekong Dolphin Pleasance,attraction,tourist_attraction,Tourist Attraction,,12.6063023,106.0223508,"J24C+GWH, Kampi, Cambodia",4.4,372,,OPERATIONAL,,https://maps.google.com/?cid=12273772883921685797&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJZdAd0wsRDTER5-swBWCZofE,Phnom Sambok Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.5630121,106.0200653,"H27C+624, Kratié, Cambodia",4.3,171,,OPERATIONAL,,https://maps.google.com/?cid=17411366272074050535&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJcS37YgATDTERFKA1yDlmLYY,"Kampi Dolphin Canyon, Kratie Province",attraction,tourist_attraction,Tourist Attraction,,12.6063052,106.0226721,"J24F+G3F, Kampi, Cambodia",4.5,12,,OPERATIONAL,,https://maps.google.com/?cid=9668496373392449556&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJcSO9MwAbDTERrdg6pgrjzic,Silver Dolphin Kayaking,attraction,tourist_attraction,Tourist Attraction,,12.4815524,106.0181358,"048Eo, Street Preah Suramaridth, Riverside, Kratié, Cambodia",5,134,,OPERATIONAL,,https://maps.google.com/?cid=2868479647559637165&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJvTkZZwAbDTERrKxFOClLvuY,កំពង់ចម្លងទេសចរណ៍សួនសុបិនកោះច្រែង,attraction,tourist_attraction,Tourist Attraction,,12.4148125,106.0376875,"Kratié, Cambodia",4.3,11,,OPERATIONAL,,https://maps.google.com/?cid=16626809514708282540&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJX4qKPwAdDTERrbBjNkuNJnw,Suon Soben Koh Chraeng សួនសុបិនកោះច្រែង,attraction,tourist_attraction,Tourist Attraction,,12.403812499999999,106.03293749999999,"Kratié 10109, Cambodia",4.5,6,,OPERATIONAL,,https://maps.google.com/?cid=8945993063992635565&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJmWbQHgARDTERC0WQ7ZUTcyw,រកាធំក្បាលកោះ (Sacred Grove),attraction,tourist_attraction,Tourist Attraction,,12.512652899999999,105.990952,"GX7R+39, Kratié, Cambodia",4.7,10,,OPERATIONAL,,https://maps.google.com/?cid=3202925294647264523&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJy_whHgAbDTERS3PKkUpAAL8,ស្ពានទៅកំពែង,attraction,tourist_attraction,Tourist Attraction,,12.4321431,106.011268,"C2J6+VG, ឃុំ សោប, Cambodia",3.9,10,,OPERATIONAL,,https://maps.google.com/?cid=13763071150261957451&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJ9yu6pTizDTERGvZ7uFL8tIg,ចំការទុរេនលោករស់ខៀវបែកអន្លូង,attraction,tourist_attraction,Tourist Attraction,,12.3876309,105.58215949999999,"9HQJ+3V3, Cambodia",3.5,8,,OPERATIONAL,,https://maps.google.com/?cid=9850775717178766874&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJYb8hVzsdDTERSDt1Ev2-m7k,ស្ពាន ព្រែកប្រសព្វ,attraction,tourist_attraction,Tourist Attraction,,12.3774308,106.0597966,"93G5+XWF, Cambodia",5,3,,OPERATIONAL,,https://maps.google.com/?cid=13374493512552495944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJZxqxVgAdDTER8E0AnRtkrKw,កោះច្រែង,attraction,tourist_attraction,Tourist Attraction,,12.3585538,106.0450555,"92CV+HQ, Preaek Prasab District, Cambodia",4.5,2,,OPERATIONAL,,https://maps.google.com/?cid=12442429940278775280&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJX19OzWkRDTEREs4aA1e2WIQ,ល្អៀត,attraction,tourist_attraction,Tourist Attraction,,12.5831723,106.00216329999999,"H2M2+7V7, Cambodia",4.2,5,,OPERATIONAL,,https://maps.google.com/?cid=9536572695787523602&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJrT4pEQAbDTER1GbkX4WTvNY,Koh Trong Floating Village,attraction,tourist_attraction,Tourist Attraction,,12.475658,106.005203,"F2G4+73, Kratié, Cambodia",4.5,2,,OPERATIONAL,,https://maps.google.com/?cid=15473404620786919124&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJ8by0dQATDTERUk-oxaEtmpo,Dolphin Kratie,attraction,tourist_attraction,Tourist Attraction,,12.6372899,105.9939265,"JXPV+WH, Kampi, Cambodia",4.9,8,,OPERATIONAL,,https://maps.google.com/?cid=11140266801083469650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJPUCal05xDTERR1R4nUWWykI,រមណីយដ្ឋានឆ្នេរខ្សាច់មុខវត្តព្រះវិហារធំសសរ១០០,attraction,tourist_attraction,Tourist Attraction,,12.8381677,105.9691201,"Sambour District, Cambodia",4.3,4,,OPERATIONAL,,https://maps.google.com/?cid=4812824377537614919&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJFwGRIgARDTERUjFDcfgifiY,Koh Trong View Point,attraction,tourist_attraction,Tourist Attraction,,12.5061875,105.9888125,"GX4Q+FG, Kratié, Cambodia",4.8,4,,OPERATIONAL,,https://maps.google.com/?cid=2773692870954266962&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJM_W959RxDTERNxWW3ryDoCE,Koh Pdao Community Based Ecotourism,attraction,tourist_attraction,Tourist Attraction,,12.829994899999999,105.94526859999999,"Koh Pdao village Kampong Cham commune Sambo district Kratie province ( about 45Km from Kratie, Cambodia",3.7,12,,OPERATIONAL,http://www.facebook.com/kohpdaocbet,https://maps.google.com/?cid=2423081446736794935&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
