google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJcSO9MwAbDTERrdg6pgrjzic,Silver Dolphin Kayaking,attraction,tourist_attraction,Tourist Attraction,,12.4815524,106.0181358,"048Eo, Street Preah Suramaridth, Riverside, Kratié, Cambodia",5,134,,OPERATIONAL,,https://maps.google.com/?cid=2868479647559637165&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJP_SBSMoTDTERJU35n2gzVao,Mekong Dolphin Pleasance,attraction,tourist_attraction,Tourist Attraction,,12.6063023,106.0223508,"J24C+GWH, Kampi, Cambodia",4.4,372,,OPERATIONAL,,https://maps.google.com/?cid=12273772883921685797&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJYWP_RzEQDTER_jmQAhSpIvw,Chantaraingsei Keng Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.531438699999999,105.98300990000001,ផ្លូវលេខ 279 ភូមិកំពង់ដ ឃុំជ្រោយបន្ទាយ ស្រុកព្រែកប្រសព្វ ខេត្តក្រចេះ 10252 Cambodia,4.6,26,,OPERATIONAL,,https://maps.google.com/?cid=18168269750173448702&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Kratie town
ChIJWW5Ogfz-DDERymcBGLRVq0U,Phnom Soporkaley,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.2816925,105.8345612,"7RJM+MRF, Phumi Chambak, Cambodia",4.4,44,,OPERATIONAL,,https://maps.google.com/?cid=5020200441619769290&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Kratie town
ChIJ58pOjFAaDTERgXMZPEUllIw,Wat Rokar Kandal Chas,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.466584399999999,106.02531069999999,"F28G+J4M, 308, Kratié, Cambodia",4.4,40,,OPERATIONAL,,https://maps.google.com/?cid=10129762441154360193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Kratie town
ChIJvcRCWnvjDDERrfQBK0_z-c4,Chhlong Historical Building Area,attraction,tourist_attraction,Tourist Attraction,,12.253305399999999,105.9775684,"7X3H+4G, Chhlong, Cambodia",4.4,30,,OPERATIONAL,,https://maps.google.com/?cid=14914219162363622573&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Kratie town
ChIJNaBy4YkaDTERriuSxJlq_Ow,Krong Kracheh Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.4860651,106.0168271,"F2P8+CPG, Kratié, Cambodia",4.3,43,,OPERATIONAL,,https://maps.google.com/?cid=17076641095742532526&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Kratie town
ChIJTyTPjMEbDTERiRpuG3A-uTs,Independence Monument ( Kratié),cultural,historical_landmark,Historical Landmark,,12.481560300000002,106.0192704,"F2J9+JPC, 308, Kratié, Cambodia",4.2,26,,OPERATIONAL,,https://maps.google.com/?cid=4303539570146679433&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Kratie town
ChIJZd6QAUXjDDERAcrpmjiTJD0,Preah Chan Reachea Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.250683599999999,105.9847533,"7X2M+7WC, Chhlong, Cambodia",4.2,27,,OPERATIONAL,,https://maps.google.com/?cid=4405808206801652225&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;point_of_interest;association_or_organization;establishment,buddhist_temple,Kratie town
ChIJibtIjrD8DDERlkqD1sv8UrE,Sei La Vayti Keatchun High School Stadium,urban,stadium,Stadium,,12.2530059,105.9598541,"7X35+6W5, NR73, Chhlong, Cambodia",4.2,30,,OPERATIONAL,,https://maps.google.com/?cid=12777553045211007638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,stadium;sports_complex;sports_activity_location;event_venue;point_of_interest;establishment,stadium,Kratie town
