google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJEWEss8_wcjEREfe0jMXXOUU,Mondulkiri Project Elephant Sanctuary,attraction,tourist_attraction,Tourist Attraction,,12.4556875,107.18906249999999,"F54Q+7JC, Senmonorom, Cambodia",4.7,583,,OPERATIONAL,http://www.mondulkiriproject.org/,https://maps.google.com/?cid=4988255305758734097&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;non_profit_organization;association_or_organization;point_of_interest;establishment,tourist_attraction,Sen Monorom
ChIJd4ccrM_wcjERIUujEh4kemk,ELIE & The Elephant Valley Project,nature,non_profit_organization,Non-Profit Organization,walking,12.451713999999999,107.1781999,"ELIE & the Elephant Valley Project Office, សែនមនោរម្យ, Cambodia",4.7,374,,OPERATIONAL,http://www.elephantvalleyproject.org/,https://maps.google.com/?cid=7600427032721443617&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,non_profit_organization;wildlife_refuge;tour_agency;tourist_attraction;travel_agency;park;association_or_organization;point_of_interest;service;establishment,tourist_attraction,Sen Monorom
ChIJkYnca71dcjERQwcghDV9ilY,Bousra Waterfall,nature,national_park,National Park,walking,12.566545399999999,107.418987,"HC89+JH9, Pech Chreada, Cambodia",4.5,1718,,OPERATIONAL,,https://maps.google.com/?cid=6235934302851303235&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Sen Monorom
ChIJvd2O-CZDcjERXKpOUSuvN0A,Namlear Mountain,nature,national_park,National Park,walking,12.538696999999999,107.53549,"GGQP+F5, ពេជ្រាដា, Cambodia",4.7,98,,OPERATIONAL,,https://maps.google.com/?cid=4627359742729038428&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Sen Monorom
ChIJbfRhyhn7cjERViBk5Xrfetc,Leng Ang Leng Khin Waterfall,nature,national_park,National Park,walking,12.3801264,107.1268028,"76, Cambodia",4.6,95,,OPERATIONAL,,https://maps.google.com/?cid=15526968384240754774&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Sen Monorom
ChIJ5WPS5voFczEROXReKKgHkAU,Cổng Barie Trạm 1,nature,national_park,National Park,walking,12.10766,107.154797,"4553+3W7, Bu Gia Map, Dong Nai, Vietnam",4.6,54,,OPERATIONAL,,https://maps.google.com/?cid=400828785649153081&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Sen Monorom
ChIJ9aHi0qxDcjERc1yRiMtE0dU,Phnom Nam Lyr Wildlife Sanctuary,nature,wildlife_refuge,Wildlife Refuge,walking,12.5374878,107.5351663,"GGPP+X3V, Pech Chreada, Cambodia",4.5,118,,OPERATIONAL,,https://maps.google.com/?cid=15407171441171455091&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_refuge;park;point_of_interest;establishment,park,Sen Monorom
ChIJD09kZ-JXcjER6hLTh6FWrac,ភ្នំអណ្តូងស្នេហ៍,attraction,tourist_attraction,Tourist Attraction,,12.365591199999999,107.3101914,"9886+63, Senmonorom, Cambodia",4.4,54,,OPERATIONAL,,https://maps.google.com/?cid=12082408627073389290&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sen Monorom
ChIJr-z0vDlQcjERkmfjTuFfm7g,Phnom Namlear Wildlife Sanctuary,nature,wildlife_refuge,Wildlife Refuge,walking,12.3544313,107.46768610000001,Cambodia,4.4,144,,OPERATIONAL,,https://maps.google.com/?cid=13302331345664698258&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_refuge;park;point_of_interest;establishment,park,Sen Monorom
ChIJobrQjuPxcjERPLxN2UTXPAQ,Kouprey Roundabout,attraction,tourist_attraction,Tourist Attraction,,12.4601371,107.1857359,"F56P+375, 141, Senmonorom, Cambodia",4.3,498,,OPERATIONAL,,https://maps.google.com/?cid=305355565457849404&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sen Monorom
ChIJY8I4t_JXcjERqkeqoo7CV24,Chrey Thom Waterfall,nature,national_park,National Park,walking,12.4096674,107.3129216,"C857+V57, Senmonorom, Cambodia",4,103,,OPERATIONAL,,https://maps.google.com/?cid=7951037585016113066&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Sen Monorom
