google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ45uhj8INGjEREolZbLEEf_o,ปราสาทตาควาย,cultural,historical_landmark,Historical Landmark,,14.352607299999997,103.37369699999999,"บ้านไทยนิยมพัฒนา, Tambon Bak Dai, Amphoe Phanom Dong Rak, Chang Wat Surin 32140, Thailand",4.5,292,,OPERATIONAL,,https://maps.google.com/?cid=18050150991597766930&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Samraong
ChIJJ-310EYCGjERJ3xhBdTDQIw,Prasat Ban Phluang,cultural,historical_landmark,Historical Landmark,,14.6102055,103.4241438,"บ้านพลวง Tambon Ban Phluang, Amphoe Prasat, Chang Wat Surin 32140, Thailand",4.3,326,,OPERATIONAL,,https://maps.google.com/?cid=10106292879210150951&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Samraong
ChIJb5BAkr2oEDER_WpWwcNYAvE,Ta Kao Reservoir,attraction,tourist_attraction,Tourist Attraction,,14.4614436,103.61394879999999,"FJ67+HHG, Kap Choeng, Kap Choeng District, Surin 32210, Thailand",4.1,134,,CLOSED_TEMPORARILY,https://www.facebook.com/TaKaowDam,https://maps.google.com/?cid=17366540710879587069&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJr2utEG-3EDERiabi-PbhgYU,ธารน้ำไหลโอรโตง,attraction,tourist_attraction,Tourist Attraction,,14.438632700000001,103.8610611,"บ้านทับทิมสยาม04 Tambon Thep Raksa, Amphoe Sangkha, Chang Wat Surin 32150, Thailand",4.6,5,,OPERATIONAL,,https://maps.google.com/?cid=9620218729893897865&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJFxXEIojHEDERasAQS5hvX14,Trikeeree Waterfall,attraction,tourist_attraction,Tourist Attraction,,14.3956554,103.91506129999999,"9WW8+727, Thep Raksa, Buachet District, Surin 32230, Thailand",3.9,32,,OPERATIONAL,,https://maps.google.com/?cid=6800276662237839466&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJQddE3r2oEDERHR745o9HKrc,Huay Tab Tan - Huay Sam Rarn Sanctuary,nature,national_park,National Park,walking,14.462890799999998,103.61463499999999,"FJ77+5V2, Kap Choeng, Kap Choeng District, Surin 32210, Thailand",4,51,,OPERATIONAL,https://www.facebook.com/huatuptan.huasumran?mibextid=ZbWKwL,https://maps.google.com/?cid=13198440341343575581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Samraong
ChIJW72AQIK5EDERd2CJPim9Boo,น้ำตก อลงกรณ์,attraction,tourist_attraction,Tourist Attraction,,14.3904693,103.86405909999999,"9VR7+5JM Unnamed Road Tambon Ta Tum, Amphoe Sangkha, Chang Wat Surin 32150, Thailand",4.2,20,,OPERATIONAL,,https://maps.google.com/?cid=9945844811934818423&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJX-8LzZywEDERCRyNGH_iJ9c,Huai Khanatmon Reservoir,nature,national_park,National Park,walking,14.4395239,103.787015,"CQQP+RR2, Ta Tum, Sangkha District, Surin 32150, Thailand",4.2,33,,OPERATIONAL,,https://maps.google.com/?cid=15503609277746846729&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Samraong
ChIJ39y1pvsOGjERFwIxxThs4bc,เขาทมอโรย,attraction,tourist_attraction,Tourist Attraction,,14.4038664,103.41195669999999,"CC36+GQW, Naeng Mut, Kap Choeng District, Surin 32210, Thailand",4.2,56,,OPERATIONAL,,https://maps.google.com/?cid=13249990569783001623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJPZfBYPF1GjEReXRIr_Zr_8I,Jayavarman VII Roundabout,attraction,tourist_attraction,Tourist Attraction,,14.1884863,103.5213285,"5GQC+9GW, Samraong, Cambodia",4.3,27,,OPERATIONAL,,https://maps.google.com/?cid=14051068069666124921&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJzWjJnQSlEDER1diSUYcaBWw,Laarng Ta Thong waterfall,attraction,tourist_attraction,Tourist Attraction,,14.4083715,103.67898249999999,"CM5H+8HX, Samraong, Cambodia",4.6,15,,OPERATIONAL,,https://maps.google.com/?cid=7783656699471255765&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJpQO7gpZdGjERltKI2zv-N3I,អាងជើងគ្រួស,attraction,tourist_attraction,Tourist Attraction,,14.0701535,103.1177951,"34C9+347, Banteay Chhmar, Cambodia",5,10,,OPERATIONAL,,https://maps.google.com/?cid=8230326377082573462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJa1ObGAChEDER32P7_k16NbA,អក្សរ តេ T,attraction,tourist_attraction,Tourist Attraction,,14.301543299999999,103.6256409,"8J2G+M8J, Samraong, Cambodia",4.8,9,,OPERATIONAL,,https://maps.google.com/?cid=12697189199849939935&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJldL5D1-lEDER9Kqj6jNRJpE,Huai Dan Reservoir,attraction,tourist_attraction,Tourist Attraction,,14.4383258,103.70932619999999,"CPQ5+8PP, Dan, Kap Choeng District, Surin 32210, Thailand",4.2,19,,OPERATIONAL,,https://maps.google.com/?cid=10459136468036332276&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
