google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJmRNlG4xcGjERYmWxGcv2Tgw,Banteay Chhmar Temple,cultural,hindu_temple,Hindu Temple,sightseeing,14.070893799999999,103.0998763,"33CX+9X2, 56, Banteay Chhmar, Cambodia",4.5,491,,OPERATIONAL,,https://maps.google.com/?cid=886917528808416610&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Samraong
ChIJ0_ylsdn7EDERo6zeXepiTK4,Cambodia Wildlife Sanctuary,nature,wildlife_refuge,Wildlife Refuge,walking,14.0173045,104.1349739,"NR66, 00000, Cambodia",4.7,76,,OPERATIONAL,https://www.elephantnaturepark.org/enp/visit-volunteer/projects/cambodia-wildlife-sanctuary-weekly-volunteer-49/view,https://maps.google.com/?cid=12559522219566214307&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_refuge;park;point_of_interest;establishment,park,Anlong Veng / Dangrek
ChIJ6z8fU68TGjERHQZQiKQyntw,Wat Prasat Ta Moan Saen Chey,cultural,buddhist_temple,Buddhist Temple,sightseeing,14.3309125,103.26707809999999,"87J8+9R8, Unnamed Road, Kouk Mon, Cambodia",4.6,63,,OPERATIONAL,,https://maps.google.com/?cid=15897199416907400733&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Samraong
ChIJV_xtNYFcGjERDEx-D3coJgA,Prasat Samnang Tasok,cultural,historical_landmark,Historical Landmark,,14.070313800000001,103.0874205,"33CP+4XF, Banteay Chhmar, Cambodia",4.5,20,,OPERATIONAL,,https://maps.google.com/?cid=10740540941159436&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Samraong
ChIJFZf0QvpcGjERvrILvj0jQIk,Prasat Mebon (Banteay Chhmar),cultural,historical_landmark,Historical Landmark,,14.072103799999999,103.1179118,"34C9+R5V, Banteay Chhmar, Cambodia",4.4,56,,OPERATIONAL,,https://maps.google.com/?cid=9889943529794024126&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Samraong
ChIJTfCjlocTGjERFOYAlGzhvaU,Prasat Chan,cultural,hindu_temple,Hindu Temple,sightseeing,14.338762,103.26747200000001,"87Q8+GX5, Kouk Mon, Cambodia",4.4,43,,OPERATIONAL,,https://maps.google.com/?cid=11942949643312227860&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,hindu_temple,Samraong
ChIJz8syC8NfGjERiQeQdSe0pyo,Prasat Banteay Toap,cultural,hindu_temple,Hindu Temple,sightseeing,14.003080599999999,103.11601549999999,"Banteay Toap Temple, Thma Puok, Cambodia",4.4,30,,OPERATIONAL,,https://maps.google.com/?cid=3073623352272750473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Samraong
ChIJPZfBYPF1GjEReXRIr_Zr_8I,Jayavarman VII Roundabout,attraction,tourist_attraction,Tourist Attraction,,14.1884863,103.5213285,"5GQC+9GW, Samraong, Cambodia",4.3,27,,OPERATIONAL,,https://maps.google.com/?cid=14051068069666124921&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Samraong
ChIJ765TKdqJGjERKIpUGjxj6KU,Prasat Phnom Kaun Khlaeng,cultural,hindu_temple,Hindu Temple,sightseeing,13.9119586,103.29881390000001,"W76X+QGP, Phumi Chônléas Dai, Cambodia",4.1,21,,OPERATIONAL,,https://maps.google.com/?cid=11954914320645917224&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,hindu_temple,Samraong
ChIJY0WwFKHCEDERZD_s7DA3T0A,Ta Mok House,cultural,historical_landmark,Historical Landmark,,14.2407937,104.08137970000001,"63RJ+8H6, Anlong Veng, Cambodia",4.1,309,,OPERATIONAL,,https://maps.google.com/?cid=4633983224860393316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Anlong Veng / Dangrek
