google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ0TXiS1i-BDER_gMHOERTZfk,วัดเขาชวัง,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.9207781,102.3790271,"W9CH+8J6, Pong Nam Ron, Pong Nam Ron District, Chanthaburi 22140, Thailand",4.6,714,,OPERATIONAL,http://www.facebook.com/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87-241249666229103,https://maps.google.com/?cid=17970861440554697726&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJfYxYvd_wBDERgLVD3rIAAR0,Namtok Khlong Kaeo National Park,nature,national_park,National Park,walking,12.6178215,102.57714059999999,"หมู่ที่ 2 ตำบล บ่อพลอย อำเภอ บ่อไร่ ตราด 23140, Thailand",4.4,324,,OPERATIONAL,https://www.facebook.com/Klongkaeonationalpark/?mibextid=ZbWKwL,https://maps.google.com/?cid=2089952470309778816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJyyyGKKLoBDERseCZrTnLk0g,Phnom Khiev Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.796772599999999,102.6152068,"QJW8+P34, Krong Pailin, Cambodia",4.3,259,,OPERATIONAL,,https://maps.google.com/?cid=5229747040893395121&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJZWoCiLzyBDERq2JMhwcwlz0,Wat Nong Bon,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.6797089,102.4554435,"123 5, Tambon Nong Bon, Amphoe Bo Rai, Chang Wat Trat 23140, Thailand",4.5,56,,OPERATIONAL,https://www.facebook.com/watnongbon?mibextid=ZbWKwL,https://maps.google.com/?cid=4438068766689747627&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJ43CpoBLoBDER0NDDcqS-2nA,វត្តភ្នំយ៉ាត,attraction,place_of_worship,Place of Worship,,12.8457938,102.61021590000001,"RJW6+838, Krong Pailin, Cambodia",4.5,146,,OPERATIONAL,,https://maps.google.com/?cid=8132021690680201424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJG020yVvHBDERpU2DcIbxVQg,ផ្លូវបំបែកកំរៀង ខេត្តបាត់ដំបង,attraction,tourist_attraction,Tourist Attraction,,13.046574999999999,102.50042739999999,"NR59, Kâmrieng Kraôm, Cambodia",4.2,65,,OPERATIONAL,http://5.15.83.176/,https://maps.google.com/?cid=600651685039394213&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJxUIknqLpBDERVYUGrRIRrfo,Borhuy or Elephant Head Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.8332941,102.5524458,"RHM2+8X8, Krong Pailin, Cambodia",4.1,20,,OPERATIONAL,,https://maps.google.com/?cid=18063112452362896725&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJ11B0oEbtBDERfTg2nm4Vw68,น้ำตกธารหินดาษ,attraction,tourist_attraction,Tourist Attraction,,12.706605699999999,102.48728659999999,"PF4P+JWV, Nong Bon, Bo Rai District, Trat 23140, Thailand",4.2,14,,OPERATIONAL,,https://maps.google.com/?cid=12664990141940906109&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJvfyCjL39BDER1XHyShoVMDs,ចំការធុរេនពុកម៉នសំឡូតចាស់,attraction,tourist_attraction,Tourist Attraction,,12.648894,102.764709,"JQX7+HV, Phumi Chhâk Rôkar, Cambodia",2.5,4,,OPERATIONAL,,https://maps.google.com/?cid=4264932049790595541&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJLc7Id_LjBDERHEhLSWybIr4,រមណីយដ្ឋានទឹកជ្រោះដើមល្វា,attraction,tourist_attraction,Tourist Attraction,,12.7182754,102.77132379999999,"PQ9C+8G, Phum Balaing, Cambodia",4.6,14,,OPERATIONAL,,https://maps.google.com/?cid=13700683905802913820&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJ37uiOEa-BDERK-31d5xMuQM,Shooting the Rapids at Khlong Pong Nam Ron,attraction,tourist_attraction,Tourist Attraction,,12.904448200000001,102.379364,"W93H+QPH, Pong Nam Ron, Pong Nam Ron District, Chanthaburi 22140, Thailand",3.5,11,,OPERATIONAL,,https://maps.google.com/?cid=268329887716470059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJQXk49E_zBDER1ziS8uuWXlU,ฝายบ้านเนินพัฒนา,attraction,tourist_attraction,Tourist Attraction,,12.6543197,102.46298809999999,"MF37+P5H, Chang Thun, Bo Rai District, Trat 23140, Thailand",,,,OPERATIONAL,,https://maps.google.com/?cid=6151520081165826263&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJZ3fqZbX9BDERzJLWeJzAC2g,ចំការធុរេនលំហែ,attraction,tourist_attraction,Tourist Attraction,,12.6603437,102.7505048,"សំឡូតចាស់, Phum Balaing, Cambodia",4.3,3,,OPERATIONAL,,https://maps.google.com/?cid=7497297782963081932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJq_pCWgD9BDER64ZfbeIOkFA,ចម្ការទុរេនហៀង យីម សំឡូតចាស់,attraction,tourist_attraction,Tourist Attraction,,12.648368099999999,102.76618470000001,"JQX8+8FV, Samlout, Cambodia",3,2,,OPERATIONAL,,https://maps.google.com/?cid=5805156285340944107&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
ChIJY46jYyrHBDERl3akYnHFp8I,រមណីយដ្ឋានព្រះពុទ្ធ,attraction,tourist_attraction,Tourist Attraction,,13.0454824,102.489364,"2FWQ+5P, Kâmrieng Kraôm, Cambodia",4,6,,OPERATIONAL,,https://maps.google.com/?cid=14026396655245620887&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pailin town
