google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ0_pYjzRRCTER9VN-OjJcFUM,Hotel Cambodiana,coffee,hotel,Hotel,coffee,coffee,11.559856499999999,104.93616329999999,"313 Preah Sisowath Quay Phnom Penh, Phnom Penh 12206, Cambodia",4.2,2043,,OPERATIONAL,http://hotelcambodiana.com.kh/,https://maps.google.com/?cid=4833871145851573237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;coffee_shop;cafe;bakery;food_store;store;bar;event_venue;lodging;service;restaurant;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJof-GJSVRCTERM6fHgiy-UkA,BROWN Roastery | BKK,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.553286499999999,104.92483569999999,"st 57 cornered, Oknha Chrun You Hak St. (294), Phnom Penh, Cambodia",4.3,1654,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.browncoffee.com.kh/,https://maps.google.com/?cid=4634976064899622707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJLf_FpTtRCTER3vaTW8rQfQQ,Wild Phnom Penh,coffee,restaurant,Restaurant,coffee,coffee,11.551248,104.9297591,"13Y St 830, Phnom Penh, Cambodia",4.8,924,PRICE_LEVEL_MODERATE,OPERATIONAL,https://wild-restaurants.com/,https://maps.google.com/?cid=323644315778938590&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;cocktail_bar;coffee_shop;cafe;food_store;store;bar;tapas_restaurant;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJc3vs1CdRCTERCorvkxDJcR0,Temple Coffee St51,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5537648,104.9262959,"HW3G+GG3, Street 51, Phnom Penh 12200, Cambodia",4.2,832,,OPERATIONAL,,https://maps.google.com/?cid=2121697972506823178&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJdcbo5WtRCTERI2v9x1bf1L4,Tube coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5710296,104.91094129999999,"Str. Russian Federation, HWC6+C98, Phnom Penh 12301, Cambodia",4.2,440,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,,https://maps.google.com/?cid=13750861126084422435&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJo2qGBQBRCTERQv3cecyUnig,7 CAFÉ,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.555854,104.9121048,"313 Preah Sihanouk Blvd (274), Phnom Penh, Cambodia",4.3,130,,OPERATIONAL,,https://maps.google.com/?cid=2926940413776166210&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJ2XOQLSVRCTERh6YkcVItUw4,Starbucks,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5538897,104.92496360000001,"14, street 57, & St 288, Phnom Penh, Cambodia",4.3,1601,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.starbucks.com.kh/,https://maps.google.com/?cid=1032218571706771079&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJDW1JtslRCTERgqjUURfXJZA,TUBE Coffee Riverside,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5663735,104.931805,"385 Preah Sisowath Quay, Phnom Penh, Cambodia",4.7,2274,,OPERATIONAL,,https://maps.google.com/?cid=10386944610757027970&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJf9hpWG1RCTERWTBlmJ8c41Y,"Toto by Chi Chi ~ coffee, matcha & treats (BKK1) ☁️✨",coffee,coffee_shop,Coffee Shop,coffee,coffee,11.551280199999999,104.9223478,"55 St 310, Phnom Penh, Cambodia",4.6,359,,OPERATIONAL,https://www.facebook.com/totobychichi,https://maps.google.com/?cid=6260879378757267545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJAQeDtBhRCTER8mEK7eFmQ8Y,Cambodia Bagels - Street 13,coffee,bagel_shop,Bagel Shop,coffee,coffee,11.5670406,104.9292514,"162 st 13, Phnom Penh, Cambodia",4.5,419,,OPERATIONAL,http://www.cambodiabagels.com/,https://maps.google.com/?cid=14286375563479900658&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bagel_shop;brunch_restaurant;sandwich_shop;coffee_shop;breakfast_restaurant;cafe;bakery;meal_takeaway;food_store;store;restaurant;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJm3a4tUhRCTER6INXS3wnACE,MOODY Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5549615,104.9159648,"House 52 St 143, Phnom Penh 12303, Cambodia",4.5,40,,OPERATIONAL,,https://maps.google.com/?cid=2377944018045076456&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
