google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ2WGe4UdRCTERi2CkQO_fjaI,Pu Rock Cafe,coffee,cafe,Cafe,coffee,coffee,11.557677799999999,104.92306169999999,"128Eo, Street 242, just off, Street 63, Phnom Penh 12000, Cambodia",4.9,914,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,https://www.facebook.com/alwaysfeelhungry?mibextid=LQQJ4d,https://maps.google.com/?cid=11713264424535220363&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;brunch_restaurant;vegan_restaurant;vegetarian_restaurant;coffee_shop;food_store;store;restaurant;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJCY26CqRRCTERwUqtMCPifvU,Siso Bakery,coffee,bakery,Bakery,coffee,coffee,11.548593499999999,104.9135609,"St 350, Phnom Penh, Cambodia",4.8,1241,,OPERATIONAL,https://www.facebook.com/profile.php?id=100086380850872&mibextid=kFxxJD,https://maps.google.com/?cid=17689825027126282945&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery;pastry_shop;cake_shop;coffee_shop;dessert_shop;cafe;confectionery;wholesaler;food_store;store;manufacturer;food;point_of_interest;establishment,coffee_shop,Chamkarmon / BKK
ChIJLf_FpTtRCTER3vaTW8rQfQQ,Wild Phnom Penh,coffee,restaurant,Restaurant,coffee,coffee,11.551248,104.9297591,"13Y St 830, Phnom Penh, Cambodia",4.8,924,PRICE_LEVEL_MODERATE,OPERATIONAL,https://wild-restaurants.com/,https://maps.google.com/?cid=323644315778938590&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;cocktail_bar;coffee_shop;cafe;food_store;store;bar;tapas_restaurant;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJvYHQpBhRCTERto3KFM3xWVg,Gelato Factory,coffee,cafe,Cafe,coffee,coffee,11.5399696,104.9175027,"44 Street 123, Phnom Penh 12310, Cambodia",4.9,506,,OPERATIONAL,https://www.facebook.com/GelatoFactoryKh,https://maps.google.com/?cid=6366385411384315318&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Mean Chey
ChIJDW1JtslRCTERgqjUURfXJZA,TUBE Coffee Riverside,coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5663735,104.931805,"385 Preah Sisowath Quay, Phnom Penh, Cambodia",4.7,2274,,OPERATIONAL,,https://maps.google.com/?cid=10386944610757027970&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Daun Penh / Riverside
ChIJ40dk0VhRCTERZNV8muPLLHo,selapak coffee and eatery,coffee,cafe,Cafe,coffee,coffee,11.5380062,104.91547109999999,"Toul Tom Poung 1, Number 192 St 155, Phnom Penh 855000, Cambodia",4.8,438,,OPERATIONAL,https://www.facebook.com/profile.php?id=100087438421661,https://maps.google.com/?cid=8803635550012364132&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;food;point_of_interest;establishment,cafe,Mean Chey
ChIJnR6-yV5XCTER-FvNhGqqvzQ,Chériny,coffee,pastry_shop,Pastry Shop,coffee,coffee,11.5419808,104.9206255,"15A Street 432, Phnom Penh 12305, Cambodia",4.8,412,,OPERATIONAL,https://www.facebook.com/cherinykh,https://maps.google.com/?cid=3800943984995294200&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,pastry_shop;cafe;bakery;dessert_shop;confectionery;food_store;store;food;point_of_interest;establishment,cafe,Mean Chey
ChIJJ_9ZSwBRCTERy1gJYcruxVM,"Toto by Chi Chi ~ coffee, matcha, & treats (2004) ☁️✨",coffee,coffee_shop,Coffee Shop,coffee,coffee,11.5518971,104.87555429999999,"Street 2004, Phnom Penh 190210, Cambodia",4.9,268,,OPERATIONAL,,https://maps.google.com/?cid=6036493428538824907&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Pou Senchey
ChIJt-dyQQBRCTERnYJct0tRu68,The muffin man Phnom Penh,coffee,bakery,Bakery,coffee,coffee,11.5355773,104.9152032,"St 155 St 155, and St 476, Phnom Penh 120109, Cambodia",4.8,266,,OPERATIONAL,https://linktr.ee/muffinmankh,https://maps.google.com/?cid=12662804162922971805&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery;cafe;food_store;store;food;point_of_interest;establishment,cafe,Mean Chey
ChIJ5zMWMgBRCTER66qzHPCHO5c,"Toto by Chi Chi ~ coffee, matcha & treats (sen sok) ☁️✨",coffee,coffee_shop,Coffee Shop,coffee,coffee,11.580850100000001,104.88678130000001,"Street 1966, Phnom Penh, Cambodia",4.7,252,,OPERATIONAL,,https://maps.google.com/?cid=10897453188696484587&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Toul Kork
