google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJEfPby0RRCTERZOuHF6zhiCU,Wat Phnom Daun Penh,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.5761468,104.9230891,"ផ្លូវវត្តភ្នំ, Phnom Penh, Cambodia",4.4,9283,,OPERATIONAL,,https://maps.google.com/?cid=2704659705481390948&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;historical_landmark;tourist_attraction;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,tourist_attraction,centre
ChIJ42tqxz1RCTER36bOGZOA8fg,Royal Palace of Cambodia,cultural,historical_landmark,Historical Landmark,,11.563877000000002,104.9312521,"Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.3,13450,,OPERATIONAL,,https://maps.google.com/?cid=17938260160074917599&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,centre
ChIJc_VXyT9RCTERA0qYd_HURUE,Orussey Market,attraction,market,Market,,11.5626462,104.917031,"Oknha Tep Phan St. (182), Phnom Penh, Cambodia",4.2,11708,,OPERATIONAL,https://www.facebook.com/%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%9A%E1%9E%A2%E1%9E%BC%E1%9E%9A%E1%9E%AC%E1%9E%9F%E1%9F%92%E1%9E%9F%E1%9E%B8-103004678702508,https://maps.google.com/?cid=4703399519417027075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,centre
ChIJ42tqxz1RCTERsG1wcg9Cxeo,Independence Monument,attraction,monument,Monument,,11.556434399999999,104.9282037,"Norodom Blvd, 41, Phnom Penh, Cambodia",4.5,5210,,OPERATIONAL,,https://maps.google.com/?cid=16917000209399049648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,monument;tourist_attraction;point_of_interest;establishment,tourist_attraction,centre
ChIJw8jeJSJRCTERp9gvbl8l0hM,Tuol Sleng Genocide Museum,cultural,museum,Museum,sightseeing,11.548850999999999,104.9176751,"Street 113, 3, Phnom Penh, Cambodia",4.6,11984,,OPERATIONAL,https://tuolsleng.gov.kh/,https://maps.google.com/?cid=1428245123630618791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;tourist_attraction;point_of_interest;establishment,tourist_attraction,centre
ChIJE3hv6RlRCTER9pgBsIRt1tk,Olympic Market,attraction,market,Market,,11.5536394,104.91126729999999,"ផ្លូវលេខ 310, ផ្ទះលេខ 26, Phnom Penh, Cambodia",4.2,5472,,OPERATIONAL,,https://maps.google.com/?cid=15696853967902447862&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,market;tourist_attraction;point_of_interest;establishment,tourist_attraction,centre
ChIJ9Qr0h09RCTER5Ent2yE5uDs,Phnom Penh Night Market,attraction,market,Market,,11.5740451,104.92719369999999,"HWFG+JV8, Preah Sisowath Quay, Phnom Penh, Cambodia",4,11696,,OPERATIONAL,,https://maps.google.com/?cid=4303252261538974180&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,centre
ChIJqUiG40lRCTERO91s5YjVEoY,Royal Palace Park,nature,park,Park,walking,11.56523,104.932222,"HW8J+3VX, Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.5,5496,,OPERATIONAL,,https://maps.google.com/?cid=9661018934604520763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;garden;tourist_attraction;point_of_interest;establishment,tourist_attraction,centre
ChIJnXoiJEhRCTERJadKK31Dvrg,National Museum of Cambodia,cultural,art_museum,Art museum,sightseeing,11.5654881,104.92927999999999,"Preah Ang Eng St. (13), Phnom Penh 120211, Cambodia",4.2,6867,,OPERATIONAL,http://www.cambodiamuseum.info/,https://maps.google.com/?cid=13312151753430050597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_museum;tourist_attraction;museum;point_of_interest;establishment,tourist_attraction,centre
ChIJAz5JTUNRCTERi-xppekFprE,Ministry of Economy and Finance of Cambodia,attraction,government_office,Government Office,,11.576646600000002,104.9206136,"Street 92, Phnom Penh 120211, Cambodia",4.5,164,,OPERATIONAL,,https://maps.google.com/?cid=12800925491907914891&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;government_office;point_of_interest;establishment,tourist_attraction,centre
