google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJ50ZSm1rjBzERJTX2c3eEBFY,BROWN Coffee | Seaview,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.5839836,103.54279129999999,"HGMV+H4V Oucheteal Beach, Near បន្ទប់ទឹកលេខ៤, Preah Sihanouk, Cambodia",4.4,1060,PRICE_LEVEL_MODERATE,OPERATIONAL,http://www.browncoffee.com.kh/,https://maps.google.com/?cid=6198224635750135077&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJu_6RFq_hBzERNNqiLo2YvZw,TUBE COFFEE SIHANOUKVILLE,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6206192,103.5258671,"Street 7 Makara, Phum 2, Sihanouk, Cambodia",4.6,81,,OPERATIONAL,,https://maps.google.com/?cid=11294351172655307316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJEdSncQDhBzER5-2HXiygXjI,Coffee corner កាហ្វេខនណើរ,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.623058799999999,103.5211386,"JGFC+6CM, Preah Sihanouk, Cambodia",4.5,30,,OPERATIONAL,,https://maps.google.com/?cid=3629514462132170215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJjYF0fbfhBzERcH-0pHOQ5e0,ផ្សារទំនប់រលក,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.663931,103.5221786,"MG7C+GVM, Preah Sihanouk, Cambodia",4.1,45,,OPERATIONAL,,https://maps.google.com/?cid=17142266383014592368&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJq9L_KgDhBzERQzhAGuzkRFo,Starbucks Reserve (Peninsula Bay),coffee,coffee_shop,Coffee Shop,coffee,coffee,10.604457,103.517715,"City, Unit A19 Peninsula Bay, No. 1745, Preah Sihanouk, Cambodia",4,57,,OPERATIONAL,,https://maps.google.com/?cid=6504575464533669955&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJ7SDShWbhBzERq8OqPfdho_4,The Pier by Ocean,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.640340499999999,103.5016223,"10.640340504374647, 103.50157931104415, Preah Sihanouk, Cambodia",4.3,154,,OPERATIONAL,,https://maps.google.com/?cid=18348617021356950443&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJYQCOfgDhBzERlZwqKmr3qYQ,The Pier 206,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6202793,103.5257594,"Preah Sihanouk, Cambodia",4.5,44,,OPERATIONAL,,https://maps.google.com/?cid=9559443719416618133&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJIXA2HMjhBzER4QWjga0tHYo,Zero8 Chamkar Spei,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6182775,103.5202288,"JGGF+CGX, Preah Sihanouk, Cambodia",4.3,47,,OPERATIONAL,,https://maps.google.com/?cid=9952160974786201057&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJZygyqGHhBzEREOINA1JoNxE,Starbucks | FURI Times,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.630688,103.5054315,"Preah Sihanouk, Cambodia",4.1,185,PRICE_LEVEL_MODERATE,OPERATIONAL,,https://maps.google.com/?cid=1240574923811709456&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
ChIJR1JdGADhBzER-S0ItZ7IC3w,ស្លឹកកាហ្វេ,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6150421,103.53931639999999,"JG7Q+WQC, Street Nº 814, Preah Sihanouk, Cambodia",4.7,21,,OPERATIONAL,,https://maps.google.com/?cid=8938458469414481401&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,coffee_shop,Sihanoukville
