google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJfcE4hsThBzERVuDXLiKe88k,Phsar Leu Market,attraction,market,Market,,10.6228155,103.5300292,"JGFJ+42C, 7 Makara St, Preah Sihanouk, Cambodia",4.2,5074,,OPERATIONAL,,https://maps.google.com/?cid=14552148690616180822&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,market;tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJZUZTwZwJCDER_IW_YljVZwQ,ខ្មែរធ្វើបាន Cambodian Can Do It,attraction,tourist_attraction,Tourist Attraction,,10.5573622,103.5797352,"Poy Lok Yey Jom Teav Mav, Jom Teav Mav Boulevard, Cambodia",4.5,359,,OPERATIONAL,,https://maps.google.com/?cid=317456874343466492&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJpX-8cQDDBzER4fLVL3IsU8E,Coconut Beach,attraction,tourist_attraction,Tourist Attraction,,10.703334,103.313408,"P827+R8, Preah Sihanouk, Cambodia",4.5,127,,OPERATIONAL,,https://maps.google.com/?cid=13930526941327520481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ85hXNUEFCDERQ_enIF4r6-E,កោះសំពោច,attraction,tourist_attraction,Tourist Attraction,,10.4992178,103.674374,"FMXF+MPQ, Preah Sihanouk, Cambodia",4.5,50,,OPERATIONAL,,https://maps.google.com/?cid=16279152961335588675&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ7c7qFcrhBzEReRpO9rAY5zA,Wat Leu Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,10.6350619,103.5219078,"JGPC+2QF, Preah Sihanouk, Cambodia",4.1,272,,OPERATIONAL,,https://maps.google.com/?cid=3523812381766326905&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJITiujDrpBzERkd9T0PlGcPI,M'Pai Bay,attraction,scenic_spot,Scenic Spot,,10.622611899999999,103.2948181,"Cambodia, Mpai bay, Preah Sihanouk 18000, Cambodia",4.5,354,,OPERATIONAL,,https://maps.google.com/?cid=17469540993326112657&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJZxQkSEfgBzERd4yISUvIE34,Pier 52,attraction,ferry_service,Ferry Service,,10.6556351,103.5189412,"MG49+7H4, Preah Sihanouk, Cambodia",4,320,,OPERATIONAL,,https://maps.google.com/?cid=9084825099018210423&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ferry_service;tourist_attraction;tour_agency;travel_agency;transportation_service;point_of_interest;service;establishment,tourist_attraction,Sihanoukville
ChIJ5xIHWMoPCDERCSWVpgawuQE,Ream National Park,nature,national_park,National Park,walking,10.532876499999999,103.69416729999999,"GMMV+5M3, ក្រុងព្រះសីហនុ, Cambodia",4.1,783,,OPERATIONAL,,https://maps.google.com/?cid=124324007340483849&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ8XaY6pETCDERA7bCfpyCbL0,O Ta Pang Waterfall,attraction,tourist_attraction,Tourist Attraction,,10.6294515,103.73509449999999,"JPHP+Q2Q, Cambodia",4.6,40,,OPERATIONAL,,https://maps.google.com/?cid=13649428179306329603&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ090LQgAPCDER4s78SdQuGoc,"ខ្លោងធ្វា ឆ្នេរមាសឆ្នេរប្រាក់ The gate of Golden Beach, Silver Beach",attraction,tourist_attraction,Tourist Attraction,,10.5300109,103.6692978,"Sun Moon Resort Rd, Cambodia",4.6,18,,OPERATIONAL,,https://maps.google.com/?cid=9735145033823997666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
