google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJhVcV7eumETERXAvzQY8MHKc,Koh Ker Pyramid Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.783200299999999,104.5373693,"QGMP+7WQ, ស្រយ៉ង់ខាងជើង, Cambodia",4.7,937,,OPERATIONAL,,https://maps.google.com/?cid=12041513313108167516&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJe_zOlBJIETERcEWi89oquyY,Preah Vihear Temple,cultural,historical_landmark,Historical Landmark,,14.390494299999999,104.6801886,"9MRJ+746 On top of Preah Vihear mountain Dangrek mountain range, Cambodia",4.6,1648,,OPERATIONAL,https://napv.gov.kh/archaeological-sites/preah-vihear/apreah-vihear-temple-3.html?lang=en,https://maps.google.com/?cid=2790871513964889456&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Preah Vihear temple
ChIJNfpT1BikETERc9ojFwBIUdM,Prasat Pram (Koh Ker),cultural,hindu_temple,Hindu Temple,sightseeing,13.7499174,104.5449328,"PGXV+XX7, Phumi Môréal, Cambodia",4.8,155,,OPERATIONAL,,https://maps.google.com/?cid=15227030980341783155&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJuUydidOlETERGy4YtSLCSMQ,Koh Ker Ticket Booth,attraction,tourist_attraction,Tourist Attraction,,13.716949900000001,104.54482279999999,"2641D, Cambodia",4.7,118,,OPERATIONAL,,https://maps.google.com/?cid=14143768084079980059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Tbeng Meanchey
ChIJw1mFn3AdEjERyMhUG_9_wts,Jombok Hoas Adventure Learning Center,nature,national_park,National Park,walking,13.3131769,105.04419000000001,"827V+7MG, 213, Rovieng, Cambodia",4.8,26,,OPERATIONAL,https://adracambodia.org/jombok-hoas/,https://maps.google.com/?cid=15835359973440014536&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Prasat Preah Khan of Kompong Svay
ChIJzwSNuj9JETERG24Jxa2jpXA,Prasat Preah Vihear Gopura 4,cultural,historical_landmark,Historical Landmark,,14.3936493,104.6803018,"33110, Cambodia",4.6,84,,OPERATIONAL,,https://maps.google.com/?cid=8117073870135586331&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Preah Vihear temple
ChIJQfuZGNuFETERUBqWGT9bc7w,Tbeng Meanchey Mountain,nature,national_park,National Park,walking,13.6633933,104.9112964,"MW76+9G3, Cambodia",4.7,37,,OPERATIONAL,,https://maps.google.com/?cid=13579297628022512208&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Tbeng Meanchey
ChIJN9FRBbumETERfEyTmIT1k_g,Prasat Damrei Kandoeng,cultural,hindu_temple,Hindu Temple,sightseeing,13.768844099999999,104.55003800000001,"QH92+G2M, Kaoh Ker, Cambodia",4.7,24,,OPERATIONAL,,https://maps.google.com/?cid=17911930092826872956&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJSWGOF9btETERQAPOFvjBr_k,Prasat Preah Chaktomuk,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4104444,104.758393,"CQ65+59C, Cambodia",4.6,36,,OPERATIONAL,,https://maps.google.com/?cid=17991812307647071040&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Tbeng Meanchey
ChIJc_lJNMGmETER4Rdo2by5eg8,Prasat Krachap,cultural,hindu_temple,Hindu Temple,sightseeing,13.7822222,104.54777779999999,"QGJX+V4J, Kaoh Ker, Cambodia",4.6,32,,OPERATIONAL,,https://maps.google.com/?cid=1115408078480087009&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJE3wvBovrETERsgC-hHlHJv4,Prasat Preah Khan of Kampong Svay,cultural,historical_landmark,Historical Landmark,,13.4082225,104.7485688,"CP5X+7CP, តាសែង, Cambodia",4.5,214,,OPERATIONAL,,https://maps.google.com/?cid=18313403521992360114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Tbeng Meanchey
ChIJW0UwKwClETERzhUs9oYugEw,Prasat Neang Khmao,cultural,hindu_temple,Hindu Temple,sightseeing,13.754775299999999,104.5482777,"QG3X+W8, Phumi Môréal, Cambodia",4.5,49,,OPERATIONAL,,https://maps.google.com/?cid=5512457101092066766&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJpYVEey5BETERV24Y-lcIalw,Eco-Global Museum,cultural,museum,Museum,sightseeing,14.2820851,104.7145987,"7PJ7+RRQ, Sra'aem, Cambodia",4.5,30,,OPERATIONAL,,https://maps.google.com/?cid=6659144172971781719&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Preah Vihear temple
ChIJ0VLpDsOmETERHb9xousJGcg,Prasat Balang Cheung,cultural,hindu_temple,Hindu Temple,sightseeing,13.7872419,104.5462847,"QGPW+VGV, Kaoh Ker, Cambodia",4.5,28,,OPERATIONAL,,https://maps.google.com/?cid=14418566589650681629&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJOwvMbABBETERA7MdtCy2f7E,Sra Em Roundabout,nature,park,Park,walking,14.2380079,104.7317336,"6PQJ+3P9, Sra'aem, Cambodia",4.5,28,,OPERATIONAL,,https://maps.google.com/?cid=12790141769872159491&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Preah Vihear temple
ChIJhXbKlJWFETERcTfoyx_10uo,Thmor Bei Dom Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.664755500000002,104.91116009999999,"MW76+WF3, Cambodia",4.4,20,,OPERATIONAL,,https://maps.google.com/?cid=16920856266898159473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Tbeng Meanchey
ChIJk47ORXFeETERbtGncroms18,Wat Tuol Andet,cultural,buddhist_temple,Buddhist Temple,sightseeing,14.2125171,104.94553409999999,"6W7W+263, Choam Ksant, Cambodia",4.4,21,,OPERATIONAL,,https://maps.google.com/?cid=6895898036663734638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Tbeng Meanchey
ChIJkVeoxHbsETERIQf96Y4faeA,Prasat Preah Stoeng,cultural,hindu_temple,Hindu Temple,sightseeing,13.412598599999999,104.7568448,"CQ74+2PQ, តាសែង, Cambodia",4.4,24,,OPERATIONAL,,https://maps.google.com/?cid=16170490635721967393&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJJTeoVJlfETERLuYRHF8W0QE,Prasat Neak Buos,cultural,historical_landmark,Historical Landmark,,14.228046099999998,105.0187558,"62H9+7H, Cambodia",4.4,29,,OPERATIONAL,,https://maps.google.com/?cid=130910461919094318&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Tbeng Meanchey
ChIJ2RYf0FjsETERpuSl1-QX_e0,Prasat Damrei,cultural,hindu_temple,Hindu Temple,sightseeing,13.4230137,104.78241829999999,"CQFJ+6X3, តាសែង, Cambodia",4.4,29,,OPERATIONAL,,https://maps.google.com/?cid=17148889227734672550&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJtwke6e2hETERuHtkpXh6Dvg,"5,000 Bodhi Trees Pagoda",cultural,buddhist_temple,Buddhist Temple,sightseeing,13.7728577,104.6322691,"QJFJ+4WR, Unnamed Road, Cambodia",4.4,33,,OPERATIONAL,,https://maps.google.com/?cid=17874358629669567416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Tbeng Meanchey
ChIJhyizkXGGETERjsxKTTC2tY4,Tama Waterfall,attraction,tourist_attraction,Tourist Attraction,,13.6700713,104.948562,"Krong, MWCX+2CF, Krong Preah Vihear, Cambodia",4.4,35,,OPERATIONAL,,https://maps.google.com/?cid=10283325642741828750&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Tbeng Meanchey
ChIJ23FVObimETER6l7IbcsfiEc,Prasat Banteay Pi Choan,cultural,hindu_temple,Hindu Temple,sightseeing,13.776219,104.5529413,"QHG3+F5P, Kaoh Ker, Cambodia",4.3,20,,OPERATIONAL,,https://maps.google.com/?cid=5154404732106202858&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Tbeng Meanchey
ChIJxfKuGlAjETERLNmzPIcVB3E,វត្តទំនប់ដាច់,cultural,buddhist_temple,Buddhist Temple,sightseeing,14.293462499999999,104.46145179999999,Cambodia,4.3,26,,OPERATIONAL,,https://maps.google.com/?cid=8144502121706019116&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Preah Vihear temple
ChIJqe8oEciHETERKbm9sOgiO1w,ភ្នំត្បែងមានជ័យ,attraction,tourist_attraction,Tourist Attraction,,13.682705499999999,104.95381979999999,"MXM3+3G, Krong Preah Vihear, Cambodia",4.4,62,,OPERATIONAL,,https://maps.google.com/?cid=6645944057908279593&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Tbeng Meanchey
ChIJldUCrsuBETER4JsMCYgsims,Prasat Kork Beng Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.8000636,104.9819773,"RX2J+2QH ម្លូ​ព្រៃ, ផ្លូវ, Krong Preah Vihear, Cambodia",4.1,20,,OPERATIONAL,,https://maps.google.com/?cid=7749055071623355360&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Tbeng Meanchey
