google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJJaEGwOkbDzER9kZIGCRqgN8,Chrok La Eang Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.1753283,104.17127710000001,"55GC+4GJ, Cambodia",4.4,599,,OPERATIONAL,,https://maps.google.com/?cid=16104988970735650550&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJz-jQBpmhDzERK_QXrTfl_5Q,Phtel Khat Roundabout (Pursat Circle Statue),attraction,tourist_attraction,Tourist Attraction,,12.527994999999999,103.9629387,"GXH7+55W, NR5, Krong Pursat, Cambodia",4.3,280,,OPERATIONAL,,https://maps.google.com/?cid=10736552063964541995&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJ1bxf2A6iDzERWacpJabIzPQ,Sampov Meas,nature,park,Park,walking,12.5449995,103.9211058,"GWVC+XCX, Krong Pursat, Cambodia",4.3,502,,OPERATIONAL,,https://maps.google.com/?cid=17639694456417003353&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJL3fk2F1nDzERuWhLOW-jkWc,រមណីយដ្ឋាន ទឹកធ្លាក់ អូរដា​,attraction,tourist_attraction,Tourist Attraction,,12.165794499999999,103.70188809999999,"5P82+8Q6, Phumi Khsang, Cambodia",5,3,,OPERATIONAL,,https://maps.google.com/?cid=7462925755627563193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJr1ZyjEdvDzERkTZCkdNbDW0,ទំនប់ទឹកទី៥,attraction,tourist_attraction,Tourist Attraction,,12.230872399999999,103.75063019999999,"6QJ2+87R, Cambodia",5,9,,OPERATIONAL,,https://maps.google.com/?cid=7858037889064646289&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJJwKc89NxDzERbUMr_94zsdk,ទំនប់ស្ទាក់ទឹក ឈើតោក,attraction,tourist_attraction,Tourist Attraction,,12.3258046,103.7715156,"Cher Tork River, Cambodia",4.5,13,,OPERATIONAL,,https://maps.google.com/?cid=15686376009964929901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJJ7g2NwDrDzERy6WCA5kGbQY,( ទឹកពុះ ) រដូវប្រាំង,attraction,tourist_attraction,Tourist Attraction,,12.873493100000001,103.8238049,"VRFF+9G, Chuor Kom, Cambodia",3.5,2,,OPERATIONAL,,https://maps.google.com/?cid=463033590947685835&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJOT1STXG5DzERvn-iajD81og,Roniem Forest,nature,park,Park,walking,12.7268069,104.0304535,"P2GJ+P5G, Phumi Phat Sândaông, Cambodia",3.8,32,,OPERATIONAL,,https://maps.google.com/?cid=9860345719051943870&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJh0TDfAC_DzERRusaEs45bUo,Port ReangTil,attraction,tourist_attraction,Tourist Attraction,,12.7814268,103.99920859999999,"QXJX+HM, Chros, Cambodia",4.5,12,,OPERATIONAL,,https://maps.google.com/?cid=5363006288497929030&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJxUovoCWtDzERaJLq2kS_CFc,Kompong Luong Floating Village,attraction,tourist_attraction,Tourist Attraction,,12.5630663,104.2089549,"H675+38R, Krakor, Cambodia",4.7,31,,OPERATIONAL,https://web.facebook.com/profile.php?id=61555004172891,https://maps.google.com/?cid=6271472783564903016&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
