google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJMak0Q3AnDzERPGuRJxLfMf8,Keat Farm - Organic Sheep Farm - គៀតហ្វាម - កសិដ្ឋានកូនចៀមធម្មជាតិ,attraction,farm,Farm,,11.9023197,104.27989439999999,"Khvit Toul Khleang Village, 04406, Cambodia",4.8,97,,OPERATIONAL,,https://maps.google.com/?cid=18388724022596692796&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,farm;hiking_area;campground;cafe;tourist_attraction;ranch;hostel;lodging;manufacturer;government_office;sports_activity_location;restaurant;food;point_of_interest;service;establishment,tourist_attraction,Phnom Aural approach
ChIJPURDRjYhDzER90Og_P4DeTA,Chreav Waterfall 7th floor,attraction,tourist_attraction,Tourist Attraction,,11.981665,104.241806,"X6JR+MP, ឃុំ ត្រពាំងជោ, Cambodia",4.6,126,,OPERATIONAL,,https://maps.google.com/?cid=3492827379697468407&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Phnom Aural approach
ChIJxbCdqPahDzERbY0n5P9Xs3U,Wat Moniratanaram,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.5254744,103.9316893,"GWGJ+5MP, NR5, Krong Pursat, Cambodia",4.7,68,,OPERATIONAL,http://www.sansochea.org/,https://maps.google.com/?cid=8481219279824850285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Pursat town
ChIJ8WttfLYhDzERksKLmpvLY_w,Tmor Kral Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.0503834,104.2842352,"Koh khtom Commune, Chieb Village, 372M+5M5, ឃុំ ទួលខ្ពស់, Cambodia",4.5,284,,OPERATIONAL,,https://maps.google.com/?cid=18186603589425414802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Phnom Aural approach
ChIJxUovoCWtDzERaJLq2kS_CFc,Kompong Luong Floating Village,attraction,tourist_attraction,Tourist Attraction,,12.5630663,104.2089549,"H675+38R, Krakor, Cambodia",4.7,31,,OPERATIONAL,https://web.facebook.com/profile.php?id=61555004172891,https://maps.google.com/?cid=6271472783564903016&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJ_7Vp3CChDzERLUBbZ4InffQ,Phnom Trob Monastery,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.454085099999999,103.97828469999999,"FX3G+PW, Krong Pursat, Cambodia",4.6,50,,OPERATIONAL,,https://maps.google.com/?cid=17617280758376513581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Pursat town
ChIJ9bcW3IHfDjERdDRATUx2f54,Anlung Svay Waterfall,attraction,tourist_attraction,Tourist Attraction,,11.978895999999999,104.291965,"X7HR+HQ4, ឃុំ ទួលខ្ពស់, Cambodia",4.6,43,,OPERATIONAL,,https://maps.google.com/?cid=11420977250120512628&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Phnom Aural approach
ChIJgYxuTuQbDzERZkmadvQU0RM,Chrok La Eang Waterfall,attraction,tourist_attraction,Tourist Attraction,,12.167641999999999,104.177718,"559H+334, Cambodia",4.6,34,,OPERATIONAL,,https://maps.google.com/?cid=1427945597047556454&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Pursat town
ChIJ7VMtj0cnDzERdzrEEQ3iAMk,Eau Tente Waterfall & Campsite,attraction,tourist_attraction,Tourist Attraction,,11.962007999999999,104.2560251,"X764+RF, ឃុំ ត្រពាំងជោ, Cambodia",4.6,33,,OPERATIONAL,,https://maps.google.com/?cid=14483824947384040055&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Phnom Aural approach
ChIJR9Buc8mlBTERaf7fURnDieg,Phnom Tumpor,attraction,tourist_attraction,Tourist Attraction,,12.3867661,103.02901179999999,"ភូមិទំព័រ ឃុំព្រម៉ោយ ស្រុកវាលវែង ខេត្តពោធិ៍សាត់​, 92PH+PJ2, Phumi Prâmaôy, Cambodia",4.6,21,,OPERATIONAL,,https://maps.google.com/?cid=16756138402123873897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Cardamom foothills west
