google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJfeVaenHhbDERKTspe3zr99I,Green jungle trekking Tours-Cambodia,attraction,hiking_area,Hiking Area,,13.725106000000002,106.989747,"16452 544, Krong Ban Lung, Cambodia",4.5,226,,OPERATIONAL,http://www.greenjungletrekkingtours.com/,https://maps.google.com/?cid=15201877987087170345&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hiking_area;tourist_attraction;sports_activity_location;point_of_interest;establishment,tourist_attraction,Banlung
ChIJW4q10XTjbDERtcL_qtqr78I,បឹងយក្សឡោម,attraction,tourist_attraction,Tourist Attraction,,13.7332625,107.01620310000001,"P2M8+8F4, Krong Ban Lung, Cambodia",4.5,130,,OPERATIONAL,,https://maps.google.com/?cid=14046634718451974837&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJfatEXWrhbDERGkxDUA3236Q,Svay Mountain,attraction,tourist_attraction,Tourist Attraction,,13.733581099999999,106.9667205,"PXM8+CMQ, NR78, Krong Ban Lung, Cambodia",4.5,117,,OPERATIONAL,,https://maps.google.com/?cid=11880484879068253210&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJsXPNztSYbDERjXEq9MDAeO4,Virachey National Park,nature,national_park,National Park,walking,14.1885178,106.86510829999999,"5VQ8+C25, Veun Sai, Cambodia",4.3,198,,OPERATIONAL,,https://maps.google.com/?cid=17183696313194803597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Virachey area
ChIJV0boMTnhbDERAZbI-U6MWlU,បឹងកន្សែង (Kansaeng Lanke),nature,park,Park,walking,13.7308687,107.0152815,"Ratanakiri Province, Krong Ban Lung, Cambodia",4.6,21,,OPERATIONAL,,https://maps.google.com/?cid=6150382511953843713&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Banlung
ChIJYyIf7aYcbTER_ZsXQHdj7Jc,O Sinlair Waterfallinlove,attraction,tourist_attraction,Tourist Attraction,,13.594539399999999,107.08552119999999,"H3VP+R66, Krong Ban Lung, Cambodia",4.2,169,,OPERATIONAL,,https://maps.google.com/?cid=10947234158058380285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJh0qVHnbhbDER-Yu-4tdY5lo,Moon Ratanak Homstay ផ្ទះស្នាក់ មូនរ័ត្នន:,attraction,guest_house,Guest House,,13.741246499999999,106.9828902,"23-46, sangkat beung Konseng, Banlung, Banlung 16241, Cambodia",4.1,33,PRICE_LEVEL_MODERATE,OPERATIONAL,https://moonratanakguesthouse.wordpress.com/,https://maps.google.com/?cid=6550020392302316537&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,guest_house;private_guest_room;tourist_attraction;hotel;hostel;lodging;point_of_interest;establishment,tourist_attraction,Banlung
ChIJmR9TC3DhbDERmmcME0pbXo8,Sen Sopea Shop,urban,shopping_mall,Shopping Mall,shopping,13.7407636,106.9945595,"PXRV+8R3, NR78, Krong Ban Lung, Cambodia",4.1,36,,OPERATIONAL,,https://maps.google.com/?cid=10330794968939784090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,shopping_mall;point_of_interest;establishment,shopping_mall,Banlung
ChIJG9ghEp_hbDER-TwsxFm3pqk,Neak Meas KTV,urban,bar,Bar,nightlife,13.7280664,106.9849169,"PXHM+6XF, 39, Krong Ban Lung, Cambodia",4,21,,OPERATIONAL,,https://maps.google.com/?cid=12224659834714995961&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,karaoke;night_club;bar;point_of_interest;establishment,night_club,Banlung
ChIJo5NQuDgebTERWTlnIuzwwMg,Katieng Waterfall,attraction,tourist_attraction,Tourist Attraction,,13.6666625,106.9755469,"MX8G+M67, Krong Ban Lung, Cambodia",4.2,261,,OPERATIONAL,,https://maps.google.com/?cid=14465826900094171481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJWQ0fCeThbDER9nQcwELTRt4,Kachanh Waterfall,attraction,tourist_attraction,Tourist Attraction,,13.692816299999999,106.9895887,"MXVQ+4RG, Krong Ban Lung, Cambodia",4.2,404,,OPERATIONAL,,https://maps.google.com/?cid=16016721408434140406&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJ-d8v4r3gbDERwpo-iSRDLBY,"Cha Ong Waterfall, Ratanakiri",attraction,tourist_attraction,Tourist Attraction,,13.7589096,106.92981359999999,"QW5H+HW8, Cha Ŭng Kau, Cambodia",4,133,,OPERATIONAL,,https://maps.google.com/?cid=1597725792010148546&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Banlung
ChIJE83edsbhbDEReUAqHolhEPw,ផ្សារទំនើបស៊ីត្រា,urban,shopping_mall,Shopping Mall,shopping,13.740288399999999,106.99110569999999,"78A, Krong Ban Lung, Cambodia",4,174,,OPERATIONAL,https://www.facebook.com/SetraSupermarket/,https://maps.google.com/?cid=18163124538729709689&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,shopping_mall;point_of_interest;establishment,shopping_mall,Banlung
ChIJ_S_NkJkSbTERQr2Tl7kfUyQ,Lumphat Wildlife Sanctuary,nature,national_park,National Park,walking,13.369510499999999,107.0539919,"Lumphat, Cambodia",4,210,,OPERATIONAL,,https://maps.google.com/?cid=2617470690404842818&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,national_park;park;point_of_interest;establishment,park,Lumphat / Sesan
