google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJfyGbWEEXEDER5ndjd8OZo94,កាំមឹ កាហ្វេ KANMU #かんむ,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.347717399999999,103.8574213,"8VX4+2VH, Krong Siem Reap, Cambodia",4.4,517,,OPERATIONAL,,https://maps.google.com/?cid=16042835362424518630&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJYejkRFMXEDERcfvdLE5tacA,Sbov café,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.353635599999999,103.85758059999999,"Street 27, Krong Siem Reap 171204, Cambodia",4.6,230,,OPERATIONAL,,https://maps.google.com/?cid=13864733110364404593&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJdRcsC20XEDEREmW_I74A8Lw,BROWN Roastery | Siem Reap,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.3634954,103.8548993,"National Road No. 6 Ta Phul Village, Krong Siem Reap 17252, Cambodia",4.4,1805,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.browncoffee.com.kh/page/Location/420161422856602542i0c0s0t1/17,https://maps.google.com/?cid=13614382490184541458&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJYzvCKHAXEDERAyl5l2fIH2I,The Little Red Fox Espresso Cafe,coffee,cafe,Cafe,coffee,coffee,13.357370300000001,103.856577,"593 Hup Guan Street Mondul 1 Village Siem Reap, Krong Siem Reap 17252, Cambodia",4.7,1326,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.thelittleredfoxespresso.com/,https://maps.google.com/?cid=7070590287243454723&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;coffee_shop;vegan_restaurant;breakfast_restaurant;vegetarian_restaurant;clothing_store;home_goods_store;food_store;restaurant;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJj-2yN_EXEDERwt017FeRu5c,THE PLACE Hostel & Pool Bar,coffee,hostel,Hostel,coffee,coffee,13.356971999999999,103.8506068,"Funky Ln, Krong Siem Reap 17000, Cambodia",4.5,379,,OPERATIONAL,https://www.theplacehostels.com/,https://maps.google.com/?cid=10933492327183146434&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hostel;coffee_shop;cocktail_bar;cafe;lodging;bar;tour_agency;travel_agency;food_store;service;restaurant;food;point_of_interest;transportation_service;store;establishment,coffee_shop,Town centre
ChIJ59MqHgAXEDERQnVor90Jplk,TUBE COFFEE Siem Reap,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.360828399999999,103.85505010000001,"62 Sivutha Blvd, Krong Siem Reap, Cambodia",4.4,151,,OPERATIONAL,,https://maps.google.com/?cid=6459861563244836162&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJu374RkAXEDERV8TCeNjdbIE,The Urban,coffee,hotel,Hotel,coffee,coffee,13.3558379,103.85134479999999,"120 Angkor Night Market St, Krong Siem Reap, Cambodia",4.8,732,,OPERATIONAL,https://www.staynature.net/hotel/the-urban/,https://maps.google.com/?cid=9326072850186159191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;coffee_shop;massage_spa;massage;cafe;spa;lodging;food_store;service;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJl72v1W4XEDER2_a-sxutStc,Brother Bong Cafe,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.3591977,103.8615942,"Street 20, Krong Siem Reap, Cambodia",4.8,1142,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,,https://maps.google.com/?cid=15513402200922453723&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;coffee_roastery;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJlygjOVYXEDERAP-i7qg8g4Q,Airport Bus Stop (Next Station Airport),coffee,transportation_service,Transportation Service,coffee,coffee,13.3515547,103.8598746,"7 Makara St, Krong Siem Reap, Cambodia",4.5,221,,OPERATIONAL,http://www.siemreapairportbus.com/,https://maps.google.com/?cid=9548542331211415296&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,transportation_service;coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
ChIJYwZ8UY0XEDER3L49QZgtFtk,Starbucks | Pub Street,coffee,coffee_shop,Coffee Shop,coffee,coffee,13.3555475,103.85394,"9V43+6HP, Street 07, Krong Siem Reap, Cambodia",4.4,234,PRICE_LEVEL_MODERATE,OPERATIONAL,,https://maps.google.com/?cid=15642740487670841052&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;food;point_of_interest;store;establishment,coffee_shop,Town centre
