google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJU87uh4sXEDERD9JlZbz5qds,Pub Street,attraction,tourist_attraction,Tourist Attraction,,13.3547552,103.8546995,"Street 08, Krong Siem Reap, Cambodia",4.4,7043,,OPERATIONAL,,https://maps.google.com/?cid=15828456952920658447&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Town centre
ChIJG3Zu_ZsXEDERDXBpxcpQt6M,Phsar Leu Thom Tmey,attraction,market,Market,,13.3600423,103.8745848,"NR6, Krong Siem Reap 17252, Cambodia",4.3,4087,,OPERATIONAL,,https://maps.google.com/?cid=11796986580745941005&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Town centre
ChIJn8MGzAwXEDER469lVTwERp8,Angkor National Museum,cultural,museum,Museum,sightseeing,13.366446499999999,103.8601195,"968 Vithei Preah Sihanouk Ave, Krong Siem Reap, Cambodia",4.4,6125,,OPERATIONAL,http://www.angkornationalmuseum.com/,https://maps.google.com/?cid=11476865357577564131&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;museum;point_of_interest;establishment,tourist_attraction,Town centre
ChIJLzUbTHIXEDER3CNqVOPQMAs,Preah Ang Chek Preah Ang Chorm Shrine,attraction,place_of_worship,Place of Worship,,13.362449,103.85888779999999,"NR6, Krong Siem Reap, Cambodia",4.5,661,,OPERATIONAL,,https://maps.google.com/?cid=806374008091714524&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,place_of_worship;tourist_attraction;association_or_organization;point_of_interest;establishment,tourist_attraction,Town centre
ChIJYyEHxXoXEDEROP05Pm6Mobc,Made in Cambodia Market,attraction,,,,13.3599631,103.8568943,"Oum Khun St, Krong Siem Reap, Cambodia",4.4,2513,,OPERATIONAL,https://www.facebook.com/MadeinCambodiaMarket/,https://maps.google.com/?cid=13232011585309506872&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Town centre
ChIJ0V_HuHAXEDERvEQB-3hywlI,Wat Bo,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.356312599999999,103.86175180000001,"0092 Street 22, Krong Siem Reap, Cambodia",4.5,1035,,OPERATIONAL,,https://maps.google.com/?cid=5963454720524764348&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Town centre
ChIJ3-8kVnIXEDERspUIeSGCNmo,"Phare, The Cambodian Circus",attraction,performing_arts_theater,Performing Arts Theater,,13.353881099999999,103.8392442,"Ring Road, south of the, Intersection, Sok San Rd, Krong Siem Reap, Cambodia",4.8,6156,,OPERATIONAL,https://pharecircus.org/,https://maps.google.com/?cid=7653447697038874034&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,performing_arts_theater;tourist_attraction;event_venue;association_or_organization;store;restaurant;food;point_of_interest;establishment,tourist_attraction,Town centre
ChIJKZchy2UXEDERaccOn9Cnuhc,The Living Arts Village by Artisans Angkor,attraction,tourist_attraction,Tourist Attraction,,13.3524786,103.8521176,"Chantiers-Ecoles Stung Thmey, Street, ក្រុងសៀមរាប, Cambodia",4.4,2863,,OPERATIONAL,https://artisansangkor.com/,https://maps.google.com/?cid=1709863523004106601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;store;point_of_interest;establishment,tourist_attraction,Town centre
ChIJXwrG3WQXEDERwsnIhZTK8Cs,Siem Reap Art Center Night Market,attraction,market,Market,,13.3522766,103.8548876,"9V24+W2F, 17000 Hospital St, Krong Siem Reap, Cambodia",4.2,6027,,OPERATIONAL,,https://maps.google.com/?cid=3166253277289957826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Town centre
ChIJh_RtLnsXEDERqxBb0qmH_nc,Wat Damnak,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.352013399999999,103.8572366,"8VX3+7X3, Wat Damnak, Krong Siem Reap 171004, Cambodia",4.5,501,,OPERATIONAL,http://cuisinewatdamnak.com/,https://maps.google.com/?cid=8646497498046337195&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Town centre
ChIJXUMoMmUXEDER9OgHx4JE0G8,Old Market Bridge,attraction,bridge,Bridge,,13.3533329,103.8559793,"9V34+89Q, Pokambor Ave, Krong Siem Reap, Cambodia",4.4,523,,OPERATIONAL,,https://maps.google.com/?cid=8057015061841438964&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bridge;tourist_attraction;transportation_service;point_of_interest;establishment,tourist_attraction,Town centre
ChIJYTiuq3oXEDERJ-ewEYSrwqY,Wat Preah Prom Rath,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.354874899999999,103.85674270000001,"Opposite Temple Coffee & Bakery, រុក្ខវិថី ពោធិកំបោរ, ក្រុងសៀមរាប 17254, Cambodia",4.5,1075,,OPERATIONAL,,https://maps.google.com/?cid=12016355339498743591&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Town centre
