google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJLSea6ooWEDERjUGwVxGoqz4,Angkor Wat,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4124693,103.8669857,"Krong Siem Reap, Cambodia",4.8,43014,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/65/angkor-wat,https://maps.google.com/?cid=4515887843808133517&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;hindu_temple;tourist_attraction;place_of_worship;landmark;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Wat
ChIJlTryri4UEDERY52x4bXHVqk,Bayon Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4412831,103.85890359999999,"Krong Siem Reap, Cambodia",4.8,14462,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/81/bayon,https://maps.google.com/?cid=12202159824396459363&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;hindu_temple;historical_landmark;tourist_attraction;historical_place;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJ36Upst8VEDERHgViL55Fuc8,Ta Prohm Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4347941,103.88930409999999,"Krong Siem Reap, Cambodia",4.8,14084,,OPERATIONAL,https://apsaraauthority.gov.kh/2021/08/12/ta-prohm/,https://maps.google.com/?cid=14968071382244656414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Small circuit
ChIJ3-8kVnIXEDERspUIeSGCNmo,"Phare, The Cambodian Circus",attraction,performing_arts_theater,Performing Arts Theater,,13.353881099999999,103.8392442,"Ring Road, south of the, Intersection, Sok San Rd, Krong Siem Reap, Cambodia",4.8,6156,,OPERATIONAL,https://pharecircus.org/,https://maps.google.com/?cid=7653447697038874034&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,performing_arts_theater;tourist_attraction;event_venue;association_or_organization;store;restaurant;food;point_of_interest;establishment,tourist_attraction,Town centre
ChIJEaZgi7MVEDERJ5kwNnXsKqw,Preah Khan Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.461887599999999,103.8715817,"Krong Siem Reap, Cambodia",4.8,3517,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/89/preah-khan-temple,https://maps.google.com/?cid=12405988111709935911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;historical_place;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJIVHBx58ZEDERVpAajrDTuT8,Lotus Silk Farm,attraction,tourist_attraction,Tourist Attraction,,13.2941563,103.8313259,"11 road 63, ភ្នំក្រោម 17250, Cambodia",4.8,2663,,OPERATIONAL,https://www.lotussilkfarm.com/,https://maps.google.com/?cid=4591934050332741718&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;cultural_center;visitor_center;tourist_information_center;home_goods_store;farm;wholesaler;tour_agency;travel_agency;store;manufacturer;point_of_interest;service;establishment,tourist_attraction,Tonle Sap
ChIJ_____z8XEDERODe6EFMp_cA,Banteay Srei Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.5989088,103.9630098,"Angkor Archaeological Park, Siem Reap 17000, Cambodia",4.8,2052,,OPERATIONAL,https://justsiemreap.com/temple-guide/banteay-srei/,https://maps.google.com/?cid=13906316661129623352&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Banteay Srei
ChIJ4VqVfNAZEDER_zaDqEinGjY,The River Gallery,cultural,art_gallery,Art Gallery,,13.360799499999999,103.85958749999999,"Svay Dankum, Krong Siem Reap 171202, Cambodia",5,329,,OPERATIONAL,,https://maps.google.com/?cid=3898612357949241087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_gallery;point_of_interest;establishment,art_gallery,Town centre
ChIJd9c7ZP8XEDERhvimzviHyxw,Kulen Elephant Forest,nature,,,walking;wildlife,13.3537175,103.85958719999999,"52 Street 26, Krong Siem Reap, Cambodia",4.8,1090,,OPERATIONAL,http://www.kulenforest.asia/,https://maps.google.com/?cid=2074901556022933638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_refuge;wildlife_park;zoo;park;point_of_interest;establishment,park,Town centre
ChIJIZFXcHAXEDERmRJ5dVg0Iq0,Treeline Urban Resort,cultural,hotel,Hotel,,13.355695299999999,103.85827820000002,"Achasva Street Wat Bo Village, ក្រុងសៀមរាប, Cambodia",4.9,416,,OPERATIONAL,https://treelinehotels.com/,https://maps.google.com/?cid=12475591472302330521&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;art_gallery;lodging;point_of_interest;establishment,art_gallery,Town centre
ChIJC1gXOpYXEDER12uwzCyFDJk,Wake Park Cambodia,urban,sports_activity_location,Sports Activity Location,rides,13.3514103,103.82626169999999,"ICF Campus Road, Siem, Reap 17252, Cambodia",4.8,555,,OPERATIONAL,https://www.wakeparkcambodia.com/,https://maps.google.com/?cid=11028336014982671319&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,water_park;amusement_park;sporting_goods_store;sports_coaching;school;educational_institution;lodging;sports_activity_location;point_of_interest;store;establishment,amusement_park,Sok San Rd
ChIJIzDtUtgXEDEREMChahd3zFQ,VIMEAN SOKHA MUSEUM,cultural,museum,Museum,sightseeing,13.3855499,103.856696,"Krong Siem Reap, Cambodia",4.8,515,,OPERATIONAL,https://web.facebook.com/pages/Vimean-Sokha-Museum/100662155052623,https://maps.google.com/?cid=6110389736891858960&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Charles de Gaulle
ChIJYUuQX6E1EDERfcf6EfIfKjA,Prasat Beng Mealea,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4751288,104.22877319999999,"F6GH+3G2, ភូមិបឹងមាលា, Cambodia",4.7,2548,,OPERATIONAL,,https://maps.google.com/?cid=3470621587386582909&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Beng Mealea
ChIJB5msZiUUEDERnmtILAsgDcI,Baphuon Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.443881999999999,103.856214,"Angkor Archaelogical Park, Krong Siem Reap, Cambodia",4.7,2124,,OPERATIONAL,,https://maps.google.com/?cid=13982867650414930846&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;historical_landmark;buddhist_temple;tourist_attraction;historical_place;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJByGGKMUVEDERZclSJlFvFYg,Ta Keo Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.4447961,103.8823793,"CVVJ+WX6, Krong Siem Reap, Cambodia",4.7,1911,,OPERATIONAL,,https://maps.google.com/?cid=9805866157995116901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;buddhist_temple;tourist_attraction;historical_place;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJjU-VvQkWEDERDqwJ2P_funs,Banteay Kdei Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.429949500000001,103.89851279999999,"Angkor Archaeological Park, Krong Siem Reap 17000, Cambodia",4.7,1756,,OPERATIONAL,,https://maps.google.com/?cid=8915684702267485198&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;historical_landmark;tourist_attraction;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,tourist_attraction,Small circuit
ChIJG31I0tMVEDERfcvy2Cjud58,Gate of the Dead,cultural,historical_landmark,Historical Landmark,,13.4414661,103.87321659999999,"CVRF+H7P, Unnamed Rd, ក្រុងសៀមរាប, Cambodia",4.8,286,,OPERATIONAL,,https://maps.google.com/?cid=11490914833465002877&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJR5UKaxwXEDERKHaqgiG2Pdg,Тheam's Gallery,cultural,art_gallery,Art Gallery,,13.3847914,103.8523702,"Veal Village, Phum Kokchack district, 50m on the right of, Street 30, Krong Siem Reap, Cambodia",4.7,838,,OPERATIONAL,http://theamsgallery.com/,https://maps.google.com/?cid=15581810540814169640&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_gallery;point_of_interest;establishment,art_gallery,Charles de Gaulle
ChIJH8xN1E4ZEDERNiLLvZFG9oI,Travel to Inspire,cultural,tour_agency,Tour Agency,sightseeing,13.3380335,103.8311485,"Svay Prey Village Rd, Krong Siem Reap, Cambodia",5,113,,OPERATIONAL,http://www.traveltoinspire.net/,https://maps.google.com/?cid=9436807660969861686&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;hindu_temple;tour_agency;travel_agency;museum;buddhist_temple;service;place_of_worship;association_or_organization;point_of_interest;establishment,museum,Sok San Rd
ChIJaUHpws0VEDERDRqQ0OEJML0,Victory Gate,attraction,historical_place,Historical Place,,13.4460678,103.87297819999999,"CVWF+C5H, Angkor, Cambodia",4.7,591,,OPERATIONAL,,https://maps.google.com/?cid=13632406937521887757&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_place;tourist_attraction;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJ_baY9QAXEDERQHWbFicjE94,Sokkhak River Lounge,urban,lounge_bar,Lounge bar,nightlife,13.3556558,103.8573517,"Pokambo Advenue, Along Siem Reap River, 20 meter before Pheah Prom Roath Pagoda Svay Dangkum Commune, Krong Siem Reap Krong Siem Reap, Krong Siem Reap 17252, Cambodia",4.7,579,,OPERATIONAL,https://www.sokkhakriverlounge.com/,https://maps.google.com/?cid=16002172551767487808&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,lounge_bar;night_club;bar;restaurant;food;point_of_interest;establishment,night_club,Town centre
ChIJx4tBgX4XEDERU-UdPYwp5TI,Sombai Cambodian Liqueur and souvenirs,attraction,store,Store,,13.3503469,103.85519599999999,"Wat Damnak Area, Krong Siem Reap 17253, Cambodia",4.8,215,,OPERATIONAL,http://www.sombai.com/,https://maps.google.com/?cid=3667383153860666707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,gift_shop;tourist_attraction;store;manufacturer;point_of_interest;establishment,tourist_attraction,Town centre
ChIJYZ91CM8VEDERpaSryAvp9yY,Thommanon Temple,cultural,historical_landmark,Historical Landmark,,13.447183299999999,103.87757219999999,"CVWH+V2G, Krong Siem Reap, Cambodia",4.7,538,,OPERATIONAL,,https://maps.google.com/?cid=2807969129509397669&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJ-f__L2wXEDERJwWf5jmxVv8,Angkor Special Tours,attraction,travel_agency,Travel Agency,,13.3617083,103.8528056,"Street Taphul, Tapoul Village, Svay Dangkum Commune, Taphul Village Area, Krong Siem Reap, Cambodia",5,85,,OPERATIONAL,https://angkorspecialtours.com/,https://maps.google.com/?cid=18399088189909173543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,travel_agency;tourist_attraction;tour_agency;service;point_of_interest;establishment,tourist_attraction,Charles de Gaulle
ChIJMXPjkNMXEDERDR_agIS84e0,"The Cocoon House - Art Gallery, Concept Store, Fashion Vintage and Skate Shop - by Cocoon Limited",cultural,art_gallery,Art Gallery,,13.3788509,103.8601135,"Sivatha road, Krong Siem Reap 17253, Cambodia",4.9,109,,OPERATIONAL,https://cocoonlimited.com/,https://maps.google.com/?cid=17141188934032301837&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_gallery;gift_shop;clothing_store;sporting_goods_store;store;point_of_interest;establishment,art_gallery,Charles de Gaulle
ChIJ44UHEMcVEDERqpaYbPPftuc,Angkor Zipline,attraction,tourist_attraction,Tourist Attraction,,13.4532957,103.8831044,"0222, Phoum Mondol 3, Khom, Krong Siem Reap 17252, Cambodia",4.7,351,,OPERATIONAL,http://www.angkorzipline.com/,https://maps.google.com/?cid=16696778905114678954&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJP8fOZzoUEDER14shsRfXHlM,Palilay Temple,attraction,historical_place,Historical Place,,13.4489779,103.8552452,"CVX4+H3X, Angkor, Cambodia",4.7,344,,OPERATIONAL,,https://maps.google.com/?cid=5989461051205323735&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_place;tourist_attraction;point_of_interest;establishment,tourist_attraction,Angkor Thom
ChIJhb0g1cAVEDERoIdEzPtVd9k,Ta Nei Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.45237,103.8851269,"FV2P+W3R, Krong Siem Reap, Cambodia",4.7,344,,OPERATIONAL,,https://maps.google.com/?cid=15670087968411125664&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Small circuit
