google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJG6M1CvVqCzERPFsWnD3imJQ,Tay Ninh Holy See,attraction,place_of_worship,Place of Worship,,11.303773999999999,106.13304699999999,"Phạm Hộ Pháp, Long Hoa, Tây Ninh 80606, Vietnam",4.7,5151,,OPERATIONAL,https://facebook.com/toathanhtayninh.official,https://maps.google.com/?cid=10707556868312947516&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,place_of_worship;tourist_attraction;association_or_organization;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJ9WrsQOxqCzERoTcVJsicAOw,Hoà Thành Park,nature,park,Park,walking,11.2869874,106.13031889999999,"Hùng Vương, Khu phố 4, Long Hoa, Tây Ninh, Vietnam",4.3,2108,,OPERATIONAL,https://www.facebook.com/CongVienHoaThanh,https://maps.google.com/?cid=17005764576397309857&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;tourist_attraction;event_venue;service;point_of_interest;store;establishment,tourist_attraction,Svay Rieng town
ChIJxd6wc8VpCzER-mGIaG_RueM,Lu Quan Village,attraction,tourist_attraction,Tourist Attraction,,11.3772413,106.1501649,"95G2+QM, Binh Minh, Tay Ninh 840000, Vietnam",4.4,280,,OPERATIONAL,,https://maps.google.com/?cid=16409376993726456314&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJ9T9QVKgiCzERK-B3ja8_mpE,Golden Galaxy Hotel & Casino,attraction,casino,Casino,,11.0724603,106.16095229999999,"35C6+X9P, NR1, Krong Bavet, Cambodia",4,305,,OPERATIONAL,http://gghotelcasino.com/,https://maps.google.com/?cid=10491768305138262059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,casino;tourist_attraction;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJMdHKcn4fCzER43EdYDaR4u0,សៀងហៃ​ រីសត,attraction,tourist_attraction,Tourist Attraction,,10.9291804,106.1408781,"W4HR+JF5, Cambodia",4,24,,OPERATIONAL,,https://maps.google.com/?cid=17141422794452333027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJNR1f9aQjCzERwQytdAMMelE,Tháp Cổ Bình Thạnh,cultural,,,,11.01863,106.2191581,"Bình Phú, Phước Chỉ, Tây Ninh, Vietnam",4.5,332,,OPERATIONAL,,https://maps.google.com/?cid=5871018273212796097&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJ34kFTC1qCzERQocgq8Of_mg,Tượng đài liệt sĩ Tây Ninh,cultural,historical_landmark,Historical Landmark,,11.3368594,106.11137169999999,"84P6+PGX, Ninh Trung, Binh Minh, Tay Ninh, Vietnam",4.6,400,,OPERATIONAL,,https://maps.google.com/?cid=7565660086767486786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJzeYnCLlpCzERMECo_SoZxd4,Bà Đen Garden - Hương Sen Quán,attraction,tourist_attraction,Tourist Attraction,,11.3617993,106.12797769999999,"Cầu K21, Trần Phú, Khu phố Ninh Bình, Bình Minh, Tây Ninh, Vietnam",4.5,81,,OPERATIONAL,https://www.booking.com/Share-Fc7drd,https://maps.google.com/?cid=16052264119266983984&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;hotel;lodging;service;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJI9UKvQxlCzERuQUgKWXEi0Q,Chót Mạt Ancient Temple,cultural,historical_landmark,Historical Landmark,,11.4637061,106.0102129,"F276+F3P, ấp Xóm Mới, Thạnh Bình, Tây Ninh, Vietnam",4.4,187,,OPERATIONAL,,https://maps.google.com/?cid=4939257355102586297&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Svay Rieng town
ChIJQfQ4pk27CzERWmSCa2tGGHY,Phum Sokharavy​ - ភូមិសុខារាវី,attraction,tourist_attraction,Tourist Attraction,,11.144357800000002,105.4930538,"National road 1 Kampong Trabaek commune, Kampong Trabaek district, province 141107, Cambodia",4.3,43,,OPERATIONAL,,https://maps.google.com/?cid=8509628923095704666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;resort_hotel;picnic_ground;hotel;lodging;point_of_interest;establishment,tourist_attraction,Svay Rieng town
