google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJgWZ7P1huCTERWggpa6cZpFk,Neang Khmao Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.1953145,104.7859763,"5QWP+49H, បាទី, Cambodia",4.3,346,,OPERATIONAL,,https://maps.google.com/?cid=6459315972404217946&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJX6DCLJhvCTERfN60ahOkMgg,Chisor Mountain Temple,cultural,historical_landmark,Historical Landmark,,11.1844568,104.8249585,"Stairway of Chiso Mountain from, the E, Cambodia",4.4,760,,OPERATIONAL,https://www.aboutcambodiatravels.com/,https://maps.google.com/?cid=590714904440528508&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJsQcvVCqACTERL0AawEINtMc,Phnom Da Temple,cultural,hindu_temple,Hindu Temple,sightseeing,10.9644581,104.98867650000001,"XX7Q+QFM, Angkor Borei, Cambodia",4.4,232,,OPERATIONAL,,https://maps.google.com/?cid=14390141289697525807&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJt1X13CkrCjER5EnR27A2dGQ,Grand Dragon Resorts,attraction,casino,Casino,,10.9556244,105.0792577,"21, 12000, Cambodia",4.3,394,,OPERATIONAL,,https://maps.google.com/?cid=7238470634321299940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,casino;tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJI5rQljYpCjER-BJ4SeJA6U4,Cống Bùn Rền (Điểm Tắm Đồng),attraction,tourist_attraction,Tourist Attraction,,10.8205691,105.10428499999999,"Ấp Vĩnh Lợi, Phú Hữu, An Giang, Vietnam",4.8,32,,OPERATIONAL,,https://maps.google.com/?cid=5686147345171354360&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJ9fU_8KCSCTER8P5v4A43CsU,Phnom Bayang Temple,cultural,hindu_temple,Hindu Temple,sightseeing,10.6411125,104.8432656,"JRRV+C8R, Kiri Vong District, Cambodia",4.5,99,,OPERATIONAL,,https://maps.google.com/?cid=14198221312273415920&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJy76epRFDCTERnCGPl7Acg5Y,រមណីយដ្ឋាន ទន្លេបាទី,attraction,tourist_attraction,Tourist Attraction,,11.338543099999999,104.841338,"8RQR+CG8, Tonle Bati, Cambodia",4,95,,OPERATIONAL,https://www.facebook.com/RothTalenz,https://maps.google.com/?cid=10845543872420848028&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJAexgJAx_CTERnshmQKEtzNo,Angkor Borei Museum,cultural,museum,Museum,sightseeing,10.994210299999999,104.9778655,"XXVH+M4Q, Angkor Borei, Cambodia",4.3,116,,OPERATIONAL,,https://maps.google.com/?cid=15766026566110726302&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJARrgcwAJCTERP0KYwYu6x_w,ភ្នំដំរីរមៀល(ខ្នងផ្សាទី២),attraction,tourist_attraction,Tourist Attraction,,11.0316078,104.5276256,"2GJH+J3, Phumi, Cambodia",4.6,24,,OPERATIONAL,,https://maps.google.com/?cid=18214732327334462015&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJ9-Q3SliXCTERnNGRW_NnfAY,រមណីយដ្ឋានភ្នំសន្លុង,attraction,tourist_attraction,Tourist Attraction,,10.7997148,104.7513795,"QQX2+VHJ, Cambodia",3.9,8,,OPERATIONAL,,https://maps.google.com/?cid=467362756250685852&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
