google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJieQa0lJdCTER87joQ2mFP6w,Ta Prohm Temple (Takeo),cultural,hindu_temple,Hindu Temple,sightseeing,11.3376361,104.8461033,"8RQW+3C5, Tonle Bati, Cambodia",4.5,644,,OPERATIONAL,,https://maps.google.com/?cid=12411785785213761779&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Takeo town
ChIJRbaih1BdCTERZxT8X1NfFLY,Plaza Premium First Phnom Penh,urban,lounge_bar,Lounge bar,nightlife,11.3576531,104.9330243,"J1, Level 3, Mezzanine Floor, International Departures Techo International Airport, Kandal Province, 08354, Cambodia",4.7,132,,OPERATIONAL,https://www.plazapremiumlounge.com/en-uk/find/asia/cambodia/phnom-penh-1/phnom-penh-international-airport/plaza-premium-first-departures,https://maps.google.com/?cid=13120216426134377575&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,lounge_bar;night_club;bar;point_of_interest;establishment,night_club,Tonle Bati
ChIJx27_VYZpCTERk0i2AAitido,Phnom Tamao Wildlife Sanctuary,cultural,museum,Museum,sightseeing,11.2999931,104.7957861,"Bati, Cambodia",4.6,157,,OPERATIONAL,,https://maps.google.com/?cid=15747307821960939667&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Takeo town
ChIJX6DCLJhvCTERfN60ahOkMgg,Chisor Mountain Temple,cultural,historical_landmark,Historical Landmark,,11.1844568,104.8249585,"Stairway of Chiso Mountain from, the E, Cambodia",4.4,760,,OPERATIONAL,https://www.aboutcambodiatravels.com/,https://maps.google.com/?cid=590714904440528508&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJsQcvVCqACTERL0AawEINtMc,Phnom Da Temple,cultural,hindu_temple,Hindu Temple,sightseeing,10.9644581,104.98867650000001,"XX7Q+QFM, Angkor Borei, Cambodia",4.4,232,,OPERATIONAL,,https://maps.google.com/?cid=14390141289697525807&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJ9fU_8KCSCTER8P5v4A43CsU,Phnom Bayang Temple,cultural,hindu_temple,Hindu Temple,sightseeing,10.6411125,104.8432656,"JRRV+C8R, Kiri Vong District, Cambodia",4.5,99,,OPERATIONAL,,https://maps.google.com/?cid=14198221312273415920&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJB2YGOWUrCjER1KCjU68y09E,វត្តប៉ាក់ណាម,cultural,buddhist_temple,Buddhist Temple,sightseeing,10.9282408,105.11588259999999,"Khum Prek Chrey Province, W4H8+79R, ភូមិព្រែកស៊ឹង, Cambodia",4.7,23,,OPERATIONAL,,https://maps.google.com/?cid=15119484102616785108&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Takeo town
ChIJhU2YfwB3CTER8lmsVqFL6IM,O'Chambak Roundabout,cultural,historical_landmark,Historical Landmark,,10.9931624,104.75686619999999,"XQV4+FG9, Doun Kaev, Cambodia",4.6,25,,OPERATIONAL,,https://maps.google.com/?cid=9504930169881385458&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Takeo town
ChIJARrgcwAJCTERP0KYwYu6x_w,ភ្នំដំរីរមៀល(ខ្នងផ្សាទី២),attraction,tourist_attraction,Tourist Attraction,,11.0316078,104.5276256,"2GJH+J3, Phumi, Cambodia",4.6,24,,OPERATIONAL,,https://maps.google.com/?cid=18214732327334462015&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Takeo town
ChIJATgZISuACTERIV9H-fU2Rek,Asram Moha Eisei Temple,cultural,hindu_temple,Hindu Temple,sightseeing,10.963843899999999,104.9868214,"XX7P+GPP, Angkor Borei, Cambodia",4.6,23,,OPERATIONAL,,https://maps.google.com/?cid=16808901614307335969&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Takeo town
ChIJ5ZRWd0toCTERwoEHRYcCp9Q,Phnom Tamao Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.3016316,104.8014336,"8R22+MH3, Thmor Sor, Cambodia",4.4,50,,OPERATIONAL,,https://maps.google.com/?cid=15323219037153362370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Takeo town
ChIJX2HU2Dt2CTERBfCsLdvHppI,Takéo Park,nature,park,Park,walking,10.9935563,104.783002,"XQVM+C6C, Unnamed Road, ដូនកែវ, Cambodia",4.4,48,,OPERATIONAL,,https://maps.google.com/?cid=10567353319849521157&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Takeo town
ChIJ0ZDnWctpCTER4YyqZtsfERs,Phnom Tamao Zoological Park and Wildlife Rescue Center (PTWRC),nature,wildlife_park,Wildlife Park,walking;wildlife,11.3012375,104.7902344,"8Q2R+F3X, Thmor Sor, Cambodia",4.3,735,,OPERATIONAL,https://www.wildlifealliance.org/wildlife-phnom-tamao/,https://maps.google.com/?cid=1950375140808887521&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_park;zoo;park;point_of_interest;establishment,park,Takeo town
