google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJk3YpAp1qDDERkg_m07LH8tg,Nokor BaChey temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.999970699999999,105.4391395,"Wat Nokor, Bachey, Kampong Siem District, Cambodia",4.4,568,,OPERATIONAL,,https://maps.google.com/?cid=15632776827429588882&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Suong
ChIJC5Hd_IZBDDERGRtj4T1CvSc,Cheung Kok Ecotourism Village,attraction,tourist_attraction,Tourist Attraction,,12.0176155,105.4076351,"Cheung Kok Village, 2C95+23R, Cambodia",4.6,77,,OPERATIONAL,,https://maps.google.com/?cid=2863517771619310361&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Suong
ChIJVypL0WKFDDERsYZcPSkgLEc,Masjid Chimoan Lech វិហារឥស្លាម ភូមិជីមាន់លិច,cultural,mosque,Mosque,sightseeing,11.766858599999999,105.9368652,"NR72, Cambodia",4.7,42,,OPERATIONAL,,https://maps.google.com/?cid=5128509437163374257&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,mosque;place_of_worship;association_or_organization;point_of_interest;establishment,mosque,Suong
ChIJ__8PVidtDDERdpF8WODmusA,Moha Leap Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.8703144,105.4239685,"VCCF+4HG, Kaoh Soutin, Cambodia",4.8,26,,OPERATIONAL,,https://maps.google.com/?cid=13887666252181967222&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Suong
ChIJPwuKH5RFDDERC6CFKuFuSK8,Hanchey Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.1627938,105.527806,"5G7H+447, Stueng Trang District, Cambodia",4.6,27,,OPERATIONAL,,https://maps.google.com/?cid=12630467068320653323&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Suong
ChIJr5P0yr9tDDERYkYbuIxNpuE,Wat Preah theat,attraction,place_of_worship,Place of Worship,,11.846748999999999,105.474329,"RFWF+MPW, Cambodia",4.6,20,,OPERATIONAL,,https://maps.google.com/?cid=16259768771447309922&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Suong
ChIJuRTLwJKJDDERKlsS6TIhbGI,Prasat Cheung Ang,cultural,hindu_temple,Hindu Temple,sightseeing,11.8805275,105.8066547,"VRJ4+6M6, Kandaol Chrum, Cambodia",4.5,24,,OPERATIONAL,,https://maps.google.com/?cid=7092080015744064298&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;point_of_interest;association_or_organization;establishment,hindu_temple,Suong
ChIJWW5Ogfz-DDERymcBGLRVq0U,Phnom Soporkaley,cultural,buddhist_temple,Buddhist Temple,sightseeing,12.2816925,105.8345612,"7RJM+MRF, Phumi Chambak, Cambodia",4.4,44,,OPERATIONAL,,https://maps.google.com/?cid=5020200441619769290&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;place_of_worship;association_or_organization;point_of_interest;establishment,buddhist_temple,Suong
ChIJB8RSwQJrDDERQrOgxwyz6n0,Independence Monument (Kampong Cham),cultural,historical_landmark,Historical Landmark,,11.9991463,105.45156039999999,"Number7old កំពង់ចាម, Krong Kampong Cham 030403, Cambodia",4.4,39,,OPERATIONAL,,https://maps.google.com/?cid=9073261266761462594&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Suong
ChIJWTB_L8ZrDDERjrsQrWIf0AI,Kampong Cham Peace Park,nature,park,Park,walking,11.9862402,105.465763,"ភូមិថ្មី, ក្រុងកំពង់ចាម, Cambodia",4.4,35,,OPERATIONAL,,https://maps.google.com/?cid=202696491902483342&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;point_of_interest;establishment,park,Suong
