google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJEfPby0RRCTERZOuHF6zhiCU,Wat Phnom Daun Penh,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.5761468,104.9230891,"ផ្លូវវត្តភ្នំ, Phnom Penh, Cambodia",4.4,9270,,OPERATIONAL,,https://maps.google.com/?cid=2704659705481390948&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;historical_landmark;tourist_attraction;historical_place;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJ42tqxz1RCTER36bOGZOA8fg,Royal Palace of Cambodia,cultural,historical_landmark,Historical Landmark,,11.563877000000002,104.9312521,"Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.3,13440,,OPERATIONAL,,https://maps.google.com/?cid=17938260160074917599&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;historical_place;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJc_VXyT9RCTERA0qYd_HURUE,Orussey Market,attraction,market,Market,,11.5626462,104.917031,"Oknha Tep Phan St. (182), Phnom Penh, Cambodia",4.2,11705,,OPERATIONAL,https://www.facebook.com/%E1%9E%95%E1%9F%92%E1%9E%9F%E1%9E%B6%E1%9E%9A%E1%9E%A2%E1%9E%BC%E1%9E%9A%E1%9E%AC%E1%9E%9F%E1%9F%92%E1%9E%9F%E1%9E%B8-103004678702508,https://maps.google.com/?cid=4703399519417027075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJ42tqxz1RCTERsG1wcg9Cxeo,Independence Monument,attraction,monument,Monument,,11.556434399999999,104.9282037,"Norodom Blvd, 41, Phnom Penh, Cambodia",4.5,5203,,OPERATIONAL,,https://maps.google.com/?cid=16917000209399049648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,monument;tourist_attraction;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJ9Qr0h09RCTER5Ent2yE5uDs,Phnom Penh Night Market,attraction,market,Market,,11.5740451,104.92719369999999,"HWFG+JV8, Preah Sisowath Quay, Phnom Penh, Cambodia",4,11686,,OPERATIONAL,,https://maps.google.com/?cid=4303252261538974180&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;market;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJqUiG40lRCTERO91s5YjVEoY,Royal Palace Park,nature,park,Park,walking,11.56523,104.932222,"HW8J+3VX, Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.5,5487,,OPERATIONAL,,https://maps.google.com/?cid=9661018934604520763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;garden;tourist_attraction;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJnXoiJEhRCTERJadKK31Dvrg,National Museum of Cambodia,cultural,art_museum,Art museum,sightseeing,11.5654881,104.92927999999999,"Preah Ang Eng St. (13), Phnom Penh 120211, Cambodia",4.2,6857,,OPERATIONAL,http://www.cambodiamuseum.info/,https://maps.google.com/?cid=13312151753430050597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_museum;tourist_attraction;museum;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJAz5JTUNRCTERi-xppekFprE,Ministry of Economy and Finance of Cambodia,attraction,government_office,Government Office,,11.576646600000002,104.9206136,"Street 92, Phnom Penh 120211, Cambodia",4.5,164,,OPERATIONAL,,https://maps.google.com/?cid=12800925491907914891&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;government_office;establishment,tourist_attraction,Daun Penh / Riverside
ChIJ5zPaEU9RCTER_E-SnOofV1Q,Sisowath Riverside Park,nature,park,Park,walking,11.570041999999999,104.9303954,"Preah Sisowath Quay, Phnom Penh, Cambodia",4.4,2943,,OPERATIONAL,,https://maps.google.com/?cid=6077361314669416444&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;tourist_attraction;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJo_7O_UhRCTERP2j7y4km8O4,Wat Ounalom Monastery,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.568381599999999,104.9298647,"Phnom Penh 12206, Cambodia",4.5,1041,,OPERATIONAL,,https://maps.google.com/?cid=17217303748712032319&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJJ0lgrTZRCTERrtfNLbEDG1s,Wat Botum Park,nature,park,Park,walking,11.5611214,104.9325013,"HW6M+C2R, Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.4,4603,,OPERATIONAL,,https://maps.google.com/?cid=6564844941335189422&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;garden;playground;tourist_attraction;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJL0U7ZzZRCTERU_d4vGDBBAo,Silver Pagoda,cultural,buddhist_temple,Buddhist Temple,sightseeing,11.562524699999999,104.93164999999999,"HW7J+2M2, Oknha Chhun St. (240), Phnom Penh, Cambodia",4.4,2341,,OPERATIONAL,,https://maps.google.com/?cid=721914461509187411&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
