google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJKQmn6jpRCTERkh40s4x4vQ8,LOVE - Phnom Penh,urban,night_club,Night Club,nightlife,11.555517499999999,104.92570649999999,"Wat Langka, 3 ផ្លូវលេខ ២៧៨, ភ្នំពេញ 12320, Cambodia",4.8,1165,PRICE_LEVEL_MODERATE,OPERATIONAL,http://clublovephnompenh.com/,https://maps.google.com/?cid=1134195226864524946&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;point_of_interest;establishment,night_club,Daun Penh / Riverside
ChIJY5eeV9BRCTERSyRHYDO2qHw,SOSORO - Preah Srey Içanavarman Museum,cultural,museum,Museum,sightseeing,11.574356,104.92542259999999,"Phnom Penh, Cambodia",4.8,848,,OPERATIONAL,http://sosoro.nbc.gov.kh/,https://maps.google.com/?cid=8982629788565316683&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;point_of_interest;establishment,museum,Daun Penh / Riverside
ChIJw8jeJSJRCTERp9gvbl8l0hM,Tuol Sleng Genocide Museum,cultural,museum,Museum,sightseeing,11.548850999999999,104.9176751,"Street 113, 3, Phnom Penh, Cambodia",4.6,11981,,OPERATIONAL,https://tuolsleng.gov.kh/,https://maps.google.com/?cid=1428245123630618791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,museum;tourist_attraction;point_of_interest;establishment,tourist_attraction,Chamkarmon / BKK
ChIJM4n33UVRCTERA_IMEaXqWa0,Above Eleven Phnom Penh,urban,peruvian_restaurant,Peruvian Restaurant,nightlife,11.553457,104.9262737,"Pasteur, 51 corner street 294, Phnom Penh 120102, Cambodia",4.8,599,,OPERATIONAL,https://aboveeleven.com/phnom-penh/?utm_source=google_map&utm_medium=organic&utm_campaign=local_seo&utm_content=website_icon,https://maps.google.com/?cid=12491273036165345795&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,peruvian_restaurant;night_club;bar;restaurant;food;point_of_interest;establishment,night_club,7 Makara / Olympic
ChIJe1cjmWdRCTERJiq4EKHaw9Y,Al-Serkal Mosque,cultural,mosque,Mosque,sightseeing,11.579416799999999,104.9138325,"1 St 86, Phnom Penh 12201, Cambodia",4.7,1096,,OPERATIONAL,,https://maps.google.com/?cid=15475453129880250918&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,mosque;tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJQcGDw0ZXCTERe81u_9ugw18,PH Euro Park,nature,park,Park,walking,11.516330499999999,104.955341,"NR1, Phnom Penh 12357, Cambodia",4.6,2228,,OPERATIONAL,https://penghuothgroup.com/,https://maps.google.com/?cid=6900535920805465467&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;tourist_attraction;point_of_interest;establishment,tourist_attraction,Chbar Ampov / east bank
ChIJgybaVDBRCTERxlRrWou-GSg,Statue of His Majesty Preah Bat Samdech Preah Norodom Sihanouk,cultural,historical_landmark,Historical Landmark,walking,11.5564834,104.9301457,"HW4J+H3R, Phnom Penh, Cambodia",4.6,1916,,OPERATIONAL,,https://maps.google.com/?cid=2889550141661598918&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;tourist_attraction;park;historical_place;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
ChIJjYIN6G9RCTERNYOY5l8quF0,"Chet Steak, Pastas & Wine",urban,restaurant,Restaurant,nightlife,11.5819655,104.89158030000002,"34 St 568, Phnom Penh, Cambodia",4.8,386,,OPERATIONAL,http://www.facebook.com/chetphnompenh,https://maps.google.com/?cid=6753194232621073205&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,restaurant;lounge_bar;steak_house;night_club;bar;food;point_of_interest;establishment,night_club,Toul Kork
ChIJg_bbGi5SCTERF5bsNc2VQz8,AEON Mall Sen Sok City,urban,shopping_mall,Shopping Mall,shopping,11.5996639,104.8853702,"St No. 1003, ភ្នំពេញ, Cambodia",4.5,9869,,OPERATIONAL,https://amssc.aeonmallcambodia.com/,https://maps.google.com/?cid=4558651956434605591&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,shopping_mall;point_of_interest;establishment,shopping_mall,Russey Keo
ChIJqUiG40lRCTERO91s5YjVEoY,Royal Palace Park,nature,park,Park,walking,11.56523,104.932222,"HW8J+3VX, Samdach Sothearos Blvd (3), Phnom Penh, Cambodia",4.5,5487,,OPERATIONAL,,https://maps.google.com/?cid=9661018934604520763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,park;garden;tourist_attraction;point_of_interest;establishment,tourist_attraction,Daun Penh / Riverside
