google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJLSea6ooWEDERjUGwVxGoqz4,Angkor Wat,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4124693,103.8669857,"Krong Siem Reap, Cambodia",4.8,42999,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/65/angkor-wat,https://maps.google.com/?cid=4515887843808133517&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;hindu_temple;tourist_attraction;landmark;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Wat
ChIJlTryri4UEDERY52x4bXHVqk,Bayon Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4412831,103.85890359999999,"Krong Siem Reap, Cambodia",4.8,14459,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/81/bayon,https://maps.google.com/?cid=12202159824396459363&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;hindu_temple;historical_landmark;tourist_attraction;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom (Bayon area)
ChIJ36Upst8VEDERHgViL55Fuc8,Ta Prohm Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.4347941,103.88930409999999,"Krong Siem Reap, Cambodia",4.8,14077,,OPERATIONAL,https://apsaraauthority.gov.kh/2021/08/12/ta-prohm/,https://maps.google.com/?cid=14968071382244656414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;point_of_interest;association_or_organization;establishment,tourist_attraction,Small circuit (Ta Prohm/Keo)
ChIJ3-8kVnIXEDERspUIeSGCNmo,"Phare, The Cambodian Circus",attraction,performing_arts_theater,Performing Arts Theater,,13.353881099999999,103.8392442,"Ring Road, south of the, Intersection, Sok San Rd, Krong Siem Reap, Cambodia",4.8,6154,,OPERATIONAL,https://pharecircus.org/,https://maps.google.com/?cid=7653447697038874034&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,performing_arts_theater;tourist_attraction;association_or_organization;restaurant;food;event_venue;point_of_interest;store;establishment,tourist_attraction,Town centre / Pub Street
ChIJEaZgi7MVEDERJ5kwNnXsKqw,Preah Khan Temple,cultural,buddhist_temple,Buddhist Temple,sightseeing,13.461887599999999,103.8715817,"Krong Siem Reap, Cambodia",4.8,3512,,OPERATIONAL,https://www.angkorenterprise.gov.kh/temple/89/preah-khan-temple,https://maps.google.com/?cid=12405988111709935911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,buddhist_temple;tourist_attraction;place_of_worship;historical_place;association_or_organization;point_of_interest;establishment,tourist_attraction,Angkor Thom (Bayon area)
ChIJIVHBx58ZEDERVpAajrDTuT8,Lotus Silk Farm,attraction,tourist_attraction,Tourist Attraction,,13.2941563,103.8313259,"11 road 63, ភ្នំក្រោម 17250, Cambodia",4.8,2642,,OPERATIONAL,https://www.lotussilkfarm.com/,https://maps.google.com/?cid=4591934050332741718&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;cultural_center;visitor_center;tourist_information_center;tour_agency;travel_agency;home_goods_store;wholesaler;manufacturer;store;farm;point_of_interest;service;establishment,tourist_attraction,Tonle Sap / Chong Khneas
ChIJ_____z8XEDERODe6EFMp_cA,Banteay Srei Temple,cultural,hindu_temple,Hindu Temple,sightseeing,13.5989088,103.9630098,"Angkor Archaeological Park, Siem Reap 17000, Cambodia",4.8,2052,,OPERATIONAL,https://justsiemreap.com/temple-guide/banteay-srei/,https://maps.google.com/?cid=13906316661129623352&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hindu_temple;place_of_worship;association_or_organization;point_of_interest;establishment,hindu_temple,Banteay Srei (NE)
ChIJ4VqVfNAZEDER_zaDqEinGjY,The River Gallery,cultural,art_gallery,Art Gallery,,13.360799499999999,103.85958749999999,"Svay Dankum, Krong Siem Reap 171202, Cambodia",5,329,,OPERATIONAL,,https://maps.google.com/?cid=3898612357949241087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,art_gallery;point_of_interest;establishment,art_gallery,Town centre / Pub Street
ChIJd9c7ZP8XEDERhvimzviHyxw,Kulen Elephant Forest,nature,,,walking;wildlife,13.3537175,103.85958719999999,"52 Street 26, Krong Siem Reap, Cambodia",4.8,1089,,OPERATIONAL,http://www.kulenforest.asia/,https://maps.google.com/?cid=2074901556022933638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_refuge;wildlife_park;zoo;park;point_of_interest;establishment,park,Town centre / Pub Street
ChIJIZFXcHAXEDERmRJ5dVg0Iq0,Treeline Urban Resort,cultural,hotel,Hotel,,13.355695299999999,103.85827820000002,"Achasva Street Wat Bo Village, ក្រុងសៀមរាប, Cambodia",4.9,416,,OPERATIONAL,https://treelinehotels.com/,https://maps.google.com/?cid=12475591472302330521&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;art_gallery;lodging;point_of_interest;establishment,art_gallery,Town centre / Pub Street
